Name	Description	SourceMTOverride	SourceMTOverride	Characteristics [continent]	Characteristics [country]	Characteristics [city]	Characteristics [organism]	Characteristics [fungus organism]	specimen collection year	Characteristics [specimen]	Characteristics[fungal strain]
ST16CH_1H12	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1H12
ST16CH_1H32	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1H32
ST16CH_1H34	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1H34
ST16CH_1I10	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1I10
ST16CH_1I3	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1I3
ST16CH_1K16	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1K16
ST16CH_1K29	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1K29
ST16CH_1K42	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1K42
ST16CH_1L32	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1L32
ST16CH_1L46	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1L46
ST16CH_1M21	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1M21
ST16CH_1M28	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1M28
ST16CH_1M33	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1M33
ST16CH_1M59	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1M59
ST16CH_1N1	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1N1
ST16CH_1N25	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1N25
ST16CH_1N6	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1N6
ST16CH_1O25	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1O25
ST16CH_1O3	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1O3
ST16CH_1O40	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1O40
ST16CH_1O65	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1O65
ST16CH_1P22	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1P22
ST16CH_1P35	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1P35
ST16CH_1P56	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1P56
ST16CH_1P7	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1P7
ST16CH_1Q10	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1Q10
ST16CH_1Q24	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1Q24
ST16CH_1Q48	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1Q48
ST16CH_1R15	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1R15
ST16CH_1R24	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1R24
ST16CH_1R36	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1R36
ST16CH_1R5	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1R5
ST16CH_1S10	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1S10
ST16CH_1S33	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1S33
ST16CH_1S7	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1S7
ST16CH_1S9	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1S9
ST16CH_1T2	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1T2
ST16CH_1T25	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1T25
ST16CH_1T52	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1T52
ST16CH_1U1	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1U1
ST16CH_1U30	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1U30
ST16CH_1U6	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1U6
ST16CH_1U9	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1U9
ST16CH_1V12	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1V12
ST16CH_1V20	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1V20
ST16CH_1V4	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1V4
ST16CH_1V50	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1V50
ST16CH_1W18	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1W18
ST16CH_1W32	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1W32
ST16CH_1W9	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1W9
ST16CH_1X1	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1X1
ST16CH_1X14	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1X14
ST16CH_1X23	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1X23
ST16CH_1X7	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1X7
ST16CH_2C1	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_2C1
ST16CH_2C2	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_2C2
ST16CH_2C5	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_2C5
ST16CH_2C7	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_2C7
ST16CH_2G10	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_2G10
ST16CH_2G18	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_2G18
ST16CH_2G34	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_2G34
ST16CH_2G4	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_2G4
ST16CH_2gamma1	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_2gamma1
ST16CH_2N5	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_2N5
ST16CH_2O1	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_2O1
ST16CH_2O4	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_2O4
ST16CH_2O5	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_2O5
ST16CH_2P1	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_2P1
ST16CH_2P3	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_2P3
ST16CH_2P5	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_2P5
ST16CH_2P7	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_2P7
ST16CH_2U14	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_2U14
ST16CH_2U2	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_2U2
ST16CH_2U24	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_2U24
ST16CH_2U7	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_2U7
ST16CH_2X1xx	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_2X1xx
ST16CH_2X2	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_2X2
ST16CH_2Z1	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_2Z1
ST16CH_3A16	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3A16
ST16CH_3A31	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3A31
ST16CH_3A36	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3A36
ST16CH_3A51	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3A51
ST16CH_3B1	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3B1
ST16CH_3B36	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3B36
ST16CH_3B8	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3B8
ST16CH_3C19	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3C19
ST16CH_3C23	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3C23
ST16CH_3C6	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3C6
ST16CH_3C81	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3C81
ST16CH_3D1	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3D1
ST16CH_3D10	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3D10
ST16CH_3D6	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3D6
ST16CH_3D7	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3D7
ST16CH_3E23	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3E23
ST16CH_3E34	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3E34
ST16CH_3E45	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3E45
ST16CH_3E9	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3E9
ST16CH_3F2	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3F2
ST16CH_3F4	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3F4
ST16CH_3F7	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3F7
ST16CH_3F9	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3F9
ST16CH_3G26	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3G26
ST16CH_3G34	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3G34
ST16CH_3G46	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3G46
ST16CH_3G6	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3G6
ST16CH_3H26	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3H26
ST16CH_3H33	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3H33
ST16CH_3H43	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3H43
ST16CH_3H49	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3H49
ST16CH_3I14	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3I14
ST16CH_3I23	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3I23
ST16CH_3I5	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3I5
ST16CH_3K1	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3K1
ST16CH_3K32	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3K32
ST16CH_3K8	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3K8
ST16CH_3L2	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3L2
ST16CH_3L27	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3L27
ST16CH_3M19	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3M19
ST16CH_3M24	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3M24
ST16CH_3M3	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3M3
ST16CH_3M36	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3M36
ST16CH_3N27	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3N27
ST16CH_3N35	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3N35
ST16CH_3N48	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3N48
ST16CH_3N8	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3N8
ST16CH_3O21	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3O21
ST16CH_3O24	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3O24
ST16CH_3O9	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3O9
ST16CH_3P15	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3P15
ST16CH_3P2	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3P2
ST16CH_3P39	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3P39
ST16CH_3Q24	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3Q24
ST16CH_3Q36	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3Q36
ST16CH_3Q9	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3Q9
ST16CH_3R1	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3R1
ST16CH_3R26	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_3R26
