Name	Description	SourceMTOverride	SourceMTOverride	Characteristics [fungus organism]	Characteristics [fungal strain]
NCYC3127	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3127
NCYC236	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC236
NCYC367	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC367
NCYC3522	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3522
NCYC3342	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3342
NCYC3511	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3511
NCYC368	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC368
NCYC3464	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3464
NCYC3515	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3515
NCYC3343	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3343
NCYC3529	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3529
NCYC1010	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1010
NCYC3521	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3521
NCYC963	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC963
NCYC3528	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3528
NCYC3499	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3499
NCYC3498	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3498
NCYC3516	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3516
NCYC3513	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3513
NCYC1298	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1298
NCYC1055	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1055
NCYC1102	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1102
NCYC1037	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1037
NCYC1179	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1179
NCYC1023	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1023
NCYC1321	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1321
NCYC1030	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1030
NCYC1183	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1183
NCYC3997	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3997
NCYC1017	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1017
NCYC3549	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3549
NCYC1167	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1167
NCYC1260	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1260
NCYC1274	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1274
NCYC1289	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1289
NCYC1270	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1270
NCYC1311	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1311
NCYC1240	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1240
