Name	Description	SourceMTOverride	SourceMTOverride	Characteristics [fungus organism]	Characteristics [fungal strain]
NCYC3126	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3126
NCYC3334	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3334
NCYC3339	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3339
NCYC3032	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3032
NCYC3114	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3114
NCYC3514	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3514
NCYC363	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC363
NCYC3341	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3341
NCYC3465	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3465
NCYC3523	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3523
NCYC1001	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1001
NCYC3403	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3403
NCYC1004	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1004
NCYC3493	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3493
NCYC3497	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3497
NCYC1007	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1007
NCYC3510	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3510
NCYC622	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC622
NCYC3340	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3340
NCYC401	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC401
NCYC1118	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1118
NCYC1072	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1072
NCYC1218	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1218
NCYC1211	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1211
NCYC1243	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1243
NCYC1286	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1286
NCYC4081	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC4081
NCYC1132	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1132
NCYC1283	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1283
NCYC1111	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1111
NCYC4068	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC4068
NCYC1097	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1097
NCYC1190	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1190
NCYC1159	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1159
NCYC1052	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1052
NCYC3552	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3552
NCYC3546	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3546
NCYC1033	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1033
NCYC4063	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC4063
NCYC1199	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1199
NCYC1044	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1044
NCYC1264	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1264
NCYC1163	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1163
NCYC1280	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1280
NCYC1147	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1147
NCYC826	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC826
NCYC3458	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3458
NCYC3319	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3319
NCYC1603	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1603
NCYC2737	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC2737
NCYC3467	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3467
NCYC2733	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC2733
NCYC2945	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC2945
NCYC3630	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3630
NCYC3455	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3455
NCYC3447	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3447
NCYC232	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC232
NCYC235	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC235
NCYC3470	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3470
NCYC3448	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3448
NCYC3486	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3486
NCYC1064	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1064
NCYC3265	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3265
NCYC3457	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3457
NCYC1151	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1151
NCYC1408	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1408
NCYC2947	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC2947
NCYC684	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC684
NCYC1407	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1407
NCYC482	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC482
NCYC620	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC620
NCYC1409	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1409
NCYC1414	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1414
NCYC621	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC621
NCYC1765	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1765
NCYC2855	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC2855
NCYC1406	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1406
NCYC357	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC357
NCYC672	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC672
NCYC2587	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC2587
