name	description	sourcemtoverride	samplemtoverride	mom_child	sex	subject	body_product	body_site	host_common_name	sample_type	body_habitat	env_feature
SRS6989848	Piglet 5F			Piglet	female	5F	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989847	Piglet 2M			Piglet	male	2M	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989846	Piglet 1M			Piglet	male	1M	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989845	Sow 2360 P7			Sow	female	2360 P7	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989844	Sow 2360 P7			Sow	female	2360 P7	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989843	Piglet 8F			Piglet	female	8F	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989842	Piglet 5M			Piglet	male	5M	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989841	Piglet 4M			Piglet	male	4M	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989840	Sow 214 P4			Sow	female	214 P4	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989839	Sow 214 P4			Sow	female	214 P4	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989838	Piglet 5M			Piglet	male	5M	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989837	Piglet 3F			Piglet	female	3F	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989836	Piglet 2M			Piglet	male	2M	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989835	Piglet 1M			Piglet	male	1M	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989834	Sow 1962 P4			Sow	female	1962 P4	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989833	Sow 1962 P4			Sow	female	1962 P4	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989832	Piglet 4F			Piglet	female	4F	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989831	Piglet 2M			Piglet	male	2M	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989830	Piglet 1M			Piglet	male	1M	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989829	Sow 1958 P3			Sow	female	1958 P3	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989828	Sow 1958 P3			Sow	female	1958 P3	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989827	Sow 34 P7			Sow	female	34 P7	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989826	Sow 34 P7			Sow	female	34 P7	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
