name	description	sourcemtoverride	samplemtoverride	SRA Accession #	SubjectID	Date Collected	Location	Latitude	Longitude	Country	body_site	body_habitat	body_product	sample_type	species common name	species	genus	subspecies	extraction_kit	miseq_run_number	Weight_to_use	habitat	Diet
PetstoreMouse.2.Feces.1.1				SRS2444765	2		"Philadelphia, PA"	N 39.952584¡	W 75.165222¡	USA	Colon	UBERON:feces	Colon	Stool	Mouse	musculus	mus		MOBIO POWERSOIL HTP	1	30	domestic	Omnivore
PetstoreMouse.3.Feces.1.1				SRS2444766	3		"Philadelphia, PA"	N 39.952584¡	W 75.165222¡	USA	Colon	UBERON:feces	Colon	Stool	Mouse	musculus	mus		MOBIO POWERSOIL HTP	1	30	domestic	Omnivore
PetstoreRat.1.Feces.1.1				SRS2444696	1		"Philadelphia, PA"	N 39.952584¡	W 75.165222¡	USA	Colon	UBERON:feces	Colon	Stool	Rat	norvegicus	rattus		MOBIO POWERSOIL HTP	1	475	domestic	Omnivore
PetstoreRat.3.Feces.1.1				SRS2444694	3		"Philadelphia, PA"	N 39.952584¡	W 75.165222¡	USA	Colon	UBERON:feces	Colon	Stool	Rat	norvegicus	rattus		MOBIO POWERSOIL HTP	1	475	domestic	Omnivore
Pig.BI0331.Feces.1.1				SRS2444541	BI0331	10/29/05	Babingi	S 0¡03.487	E 25¡35.339	Democratic Republic of the Congo	Colon	UBERON:feces	Colon	Stool	Pig	scrofa	sus	domesticus	MOBIO POWERSOIL HTP	1	35000	wild	Omnivore
Pig.LP1.Feces.1.1				SRS2444542	LP1	9/3/16	"GDS Fair, Newfoundland, PA"	N 41.308185¡	W 75.322633¡	USA	Colon	UBERON:feces	Colon	Stool	Pig	scrofa	sus	domesticus	MOBIO POWERSOIL HTP	2	100000	domestic	Omnivore
Pig.LP2.Feces.1.1				SRS2444543	LP2	9/3/16	"GDS Fair, Newfoundland, PA"	N 41.308185¡	W 75.322633¡	USA	Colon	UBERON:feces	Colon	Stool	Pig	scrofa	sus	domesticus	MOBIO POWERSOIL HTP	2	100000	domestic	Omnivore
Pig.WA0337.Feces.1.1				SRS2444544	WA0337	11/6/05	Wanie-rukula	"N 0¡11'50.84"""	"E 25¡31'36.62"""	Democratic Republic of the Congo	Colon	UBERON:feces	Colon	Stool	Pig	scrofa	sus		MOBIO POWERSOIL HTP	1	100000	wild	Omnivore
Pig.WB0706.Feces.1.1				SRS2444545	WB0706	3/29/06	Wamba	"N 2¡08'24.66"""	"E 27¡59'35.64"""	Democratic Republic of the Congo	Colon	UBERON:feces	Colon	Stool	Pig	scrofa	sus		MOBIO POWERSOIL HTP	1	100000	wild	Omnivore
PolishRabit.0.Feces.1.1				SRS2444546	0		"Elizabethtown, PA Fair"	N 40.152872¡	W 76.602745¡	USA	Colon	UBERON:feces	Colon	Stool	Rabbit	cuniculus	oryctolagus		MOBIO POWERSOIL HTP	2	1100	domestic	Herbivore
PrayingMantis.0.Feces.1.1				SRS2444547	0		"Philadelphia, PA"	N 39.952584¡	W 75.165222¡	USA	Colon	UBERON:feces	Colon	Stool	Praying Mantis	religiosa	mantis		Qiagen UCP Mini Pathogen Kit	2	2.55	wild	Carnivore
Primate.CFpts01.Feces.1.1				SRS2444837	CFpts01	11/23/10	Chimfunshi	"S 0¡13'16.22"""	"E 25¡51'32.87"""	Zambia	Colon	UBERON:feces	Colon	Stool	Eastern Chimpanzee	troglodytes	pan	schweinfurthii	MOBIO POWERSOIL HTP	1	40000	wild	Omnivore
Primate.GMpts759.Feces.1.1				SRS2444840	GMpts759	1/17/05	"Gombe, Mitumba"	"S 4¡42'00.76"""	"E 29¡37'00.07"""	Tanzania	Colon	UBERON:feces	Colon	Stool	Eastern Chimpanzee	troglodytes	pan	schweinfurthii	MOBIO POWERSOIL HTP	1	40000	wild	Omnivore
Primate.LUpts2136.Feces.1.1				SRS2444839	LUpts2136	9/28/07	Lubutu	"S 0¡13'16.22"""	"E 25¡51'32.87"""	Democratic Republic of the Congo	Colon	UBERON:feces	Colon	Stool	Eastern Chimpanzee	troglodytes	pan	schweinfurthii	MOBIO POWERSOIL HTP	1	40000	wild	Omnivore
Primate.TCpts11.Feces.1.1				SRS2444842	TCpts11	7/28/09	Tchimpounga	"N 3¡24'15"""	"E 22¡10'17"""	Republic of the Congo	Colon	UBERON:feces	Colon	Stool	Eastern Chimpanzee	troglodytes	pan	schweinfurthii	MOBIO POWERSOIL HTP	1	40000	wild	Omnivore
Primate.TZpts304.Feces.1.1				SRS2444841	UGpts304	2/22/10	Ugalla	"S 5¡29'46.86"""	"E 30¡33'37.87"""	Tanzania	Colon	UBERON:feces	Colon	Stool	Eastern Chimpanzee	troglodytes	pan	schweinfurthii	MOBIO POWERSOIL HTP	1	40000	wild	Omnivore
Rabbit.1.Feces.1.1				SRS2444695	1		"Philadelphia, PA"	N 39.952584¡	W 75.165222¡	USA	Colon	UBERON:feces	Colon	Stool	Rabbit	cuniculus	oryctolagus		MOBIO POWERSOIL HTP	1	2200	domestic	Herbivore
RedandWhiteHolsteinCow.0.Feces.1.1				SRS2444699	0		"Elizabethtown, PA Fair"	N 40.152872¡	W 76.602745¡	USA	Colon	UBERON:feces	Colon	Stool	Cow	taurus	bos		MOBIO POWERSOIL HTP	2	750000	domestic	Herbivore
RedColobus.KB_RC208.Feces.1.1				SRS2444697	hsrc2	10/7/03	"Kibale, Ngogo"	"N 0¡29'09.75"""	"E 30¡23'22.82"""	Uganda	Colon	UBERON:feces	Colon	Stool	Red Colobus	badius	piliocolobus		MOBIO POWERSOIL HTP	1	8200	wild	Herbivore
RhinocerosBeetleGrub.0.Feces.1.1				SRS2444594	0		"Philadelphia, PA"	N 39.952584¡	W 75.165222¡	USA	Colon	UBERON:feces	Colon	Stool	Rhinoceros Beetle	actaeon	megasoma		MOBIO POWERSOIL HTP	2	39.15	domestic	Herbivore
SandEncrustingWorm.1.Gut.1.1				SRS2444698	1		"Gulf Specimen Marine Laboratories, Inc., Panacea, FL"	N 30.029120¡	W 84.398617¡	USA	UBERON:multi-cellular organism		UBERON:intestine	Gut	Encrusted Sand Tubed Worm	sp.	saballaria		Qiagen UCP Mini Pathogen Kit	2	0.0076	domestic	Planktivore
SBUShark.LI15.Feces.1.1				SRS2444571	SLI15		"Panama City, FL"	N 27 54.992¡	W 083 13.846¡	USA	Colon	UBERON:feces	Colon	Stool	SBUShark	leucas	carcharhinus		MOBIO POWERSOIL HTP	2	160000	wild	Carnivore
SBUShark.LI20.Feces.1.1				SRS2444791	SLI20		"Panama City, FL"	N 27 54.992¡	W 083 13.846¡	USA	Colon	UBERON:feces	Colon	Stool	SBUShark	leucas	carcharhinus		MOBIO POWERSOIL HTP	2	160000	wild	Carnivore
SBUShark.LI4.Feces.1.1				SRS2444570	SLI103		"Panama City, FL"	N 27 54.992¡	W 083 13.846¡	USA	Colon	UBERON:feces	Colon	Stool	SBUShark	leucas	carcharhinus		MOBIO POWERSOIL HTP	2	160000	wild	Carnivore
SBUShark.LI6.Feces.1.1				SRS2444792	SLI6		"Panama City, FL"	N 27 54.992¡	W 083 13.846¡	USA	Colon	UBERON:feces	Colon	Stool	SBUShark	leucas	carcharhinus		MOBIO POWERSOIL HTP	2	160000	wild	Carnivore
