Name	Description	SourceMTOverride	SourceMTOverride	specimen collector	Specimen Collection Date	Characteristics[country]	Characteristics [continent]	Characteristics[city]	Characteristics[city]	Characteristics [organism]	Characteristics[environmental specimen]	Characteristics [fungus organism]	alternative sample ID	Characteristics [fungal strain]
TX_XC2.1				Lloyd Nelson and Bruce A. McDonald	1992	USA	North America	 Overton	 Texas	wheat	leaf	Parastagonospora nodorum	SNOV92XC2.1	Parastagonospora nodorum TX_XC2.1
AUS_1B8				Bruce A. McDonald and Robert Loughman	2001	Australia	Oceania	 North of Narrogin	n/a	wheat	leaf	Parastagonospora nodorum	SNAus01_1B8	Parastagonospora nodorum AUS_1B8
TX_XA5A.2				Lloyd Nelson and Bruce A. McDonald	1992	USA	North America	 Overton	 Texas	wheat	leaf	Parastagonospora nodorum	SNOV92XA5a.2	Parastagonospora nodorum TX_XA5A.2
TX_XH1.4				Lloyd Nelson and Bruce A. McDonald	1992	USA	North America	 Overton	 Texas	wheat	leaf	Parastagonospora nodorum	SNOV92XH1.4	Parastagonospora nodorum TX_XH1.4
TX_XH1.1				Lloyd Nelson and Bruce A. McDonald	1992	USA	North America	 Overton	 Texas	wheat	leaf	Parastagonospora nodorum	SNOV92XH1.1	Parastagonospora nodorum TX_XH1.1
TX_XG2.1				Lloyd Nelson and Bruce A. McDonald	1992	USA	North America	 Overton	 Texas	wheat	leaf	Parastagonospora nodorum	SNOV92XG2.1	Parastagonospora nodorum TX_XG2.1
TX_XG1.1				Lloyd Nelson and Bruce A. McDonald	1992	USA	North America	 Overton	 Texas	wheat	leaf	Parastagonospora nodorum	SNOV92XG1.1	Parastagonospora nodorum TX_XG1.1
TX_XD1.2				Lloyd Nelson and Bruce A. McDonald	1992	USA	North America	 Overton	 Texas	wheat	leaf	Parastagonospora nodorum	SNOV92XD1.2	Parastagonospora nodorum TX_XD1.2
TX_XC7.2				Lloyd Nelson and Bruce A. McDonald	1992	USA	North America	 Overton	 Texas	wheat	leaf	Parastagonospora nodorum	SNOV92XC7.2	Parastagonospora nodorum TX_XC7.2
TX_XC6.2				Lloyd Nelson and Bruce A. McDonald	1992	USA	North America	 Overton	 Texas	wheat	leaf	Parastagonospora nodorum	SNOV92XC6.2	Parastagonospora nodorum TX_XC6.2
TX_XA2.1				Lloyd Nelson and Bruce A. McDonald	1992	USA	North America	 Overton	 Texas	wheat	leaf	Parastagonospora nodorum	SNOV92XA2.1	Parastagonospora nodorum TX_XA2.1
OR_HBH7B				Molly Schmidt	1993	USA	North America	 Hyslop	 Oregon	wheat	leaf	Parastagonospora nodorum	SNOR93HBh7b	Parastagonospora nodorum OR_HBH7B
OR_C3A				Molly Schmidt	1993	USA	North America	 Hyslop	 Oregon	wheat	leaf	Parastagonospora nodorum	SNOR93HC3a	Parastagonospora nodorum OR_C3A
OR_HFH6C				Molly Schmidt	1993	USA	North America	 Hyslop	 Oregon	wheat	leaf	Parastagonospora nodorum	SNOR93HFh6c	Parastagonospora nodorum OR_HFH6C
OR_A2B				Molly Schmidt	1993	USA	North America	 Hyslop	 Oregon	wheat	leaf	Parastagonospora nodorum	SNOR93HA2b	Parastagonospora nodorum OR_A2B
AUS_1B3				Bruce A. McDonald and Robert Loughman	2001	Australia	Oceania	 North of Narrogin	n/a	wheat	leaf	Parastagonospora nodorum	SNAus01_1B3	Parastagonospora nodorum AUS_1B3
OR_HBH8D				Molly Schmidt	1993	USA	North America	 Hyslop	 Oregon	wheat	leaf	Parastagonospora nodorum	SNOR93HBh8d	Parastagonospora nodorum OR_HBH8D
OR_HBH5A				Molly Schmidt	1993	USA	North America	 Hyslop	 Oregon	wheat	leaf	Parastagonospora nodorum	SNOR93HBh5a	Parastagonospora nodorum OR_HBH5A
OR_HDH2B				Molly Schmidt	1993	USA	North America	 Hyslop	 Oregon	wheat	leaf	Parastagonospora nodorum	SNOR93HDh2b	Parastagonospora nodorum OR_HDH2B
OR_HBH7C				Molly Schmidt	1993	USA	North America	 Hyslop	 Oregon	wheat	leaf	Parastagonospora nodorum	SNOR93HBh7c	Parastagonospora nodorum OR_HBH7C
NY_349				Gary Bergstrom	1991	USA	North America	 Ithaca	 New York	wheat	leaf	Parastagonospora nodorum	SN349NY91	Parastagonospora nodorum NY_349
NY_335				Gary Bergstrom	1991	USA	North America	 Ithaca	 New York	wheat	leaf	Parastagonospora nodorum	SN335NY91	Parastagonospora nodorum NY_335
NY_328				Gary Bergstrom	1991	USA	North America	 Ithaca	 New York	wheat	leaf	Parastagonospora nodorum	SN328NY91	Parastagonospora nodorum NY_328
NY_387				Gary Bergstrom	1991	USA	North America	 Ithaca	 New York	wheat	leaf	Parastagonospora nodorum	SN387NY91	Parastagonospora nodorum NY_387
NY_384				Gary Bergstrom	1991	USA	North America	 Ithaca	 New York	wheat	leaf	Parastagonospora nodorum	SN384NY91	Parastagonospora nodorum NY_384
NY_377				Gary Bergstrom	1991	USA	North America	 Ithaca	 New York	wheat	leaf	Parastagonospora nodorum	SN377NY91	Parastagonospora nodorum NY_377
NY_375				Gary Bergstrom	1991	USA	North America	 Ithaca	 New York	wheat	leaf	Parastagonospora nodorum	SN375NY91	Parastagonospora nodorum NY_375
NY_369				Gary Bergstrom	1991	USA	North America	 Ithaca	 New York	wheat	leaf	Parastagonospora nodorum	SN369NY91	Parastagonospora nodorum NY_369
NY_366				Gary Bergstrom	1991	USA	North America	 Ithaca	 New York	wheat	leaf	Parastagonospora nodorum	SN366NY91	Parastagonospora nodorum NY_366
NY_358				Gary Bergstrom	1991	USA	North America	 Ithaca	 New York	wheat	leaf	Parastagonospora nodorum	SN358NY91	Parastagonospora nodorum NY_358
NY_356				Gary Bergstrom	1991	USA	North America	 Ithaca	 New York	wheat	leaf	Parastagonospora nodorum	SN356NY91	Parastagonospora nodorum NY_356
AUS_1G5				Bruce A. McDonald and Robert Loughman	2001	Australia	Oceania	 North of Narrogin	n/a	wheat	leaf	Parastagonospora nodorum	SNAus01_1G5	Parastagonospora nodorum AUS_1G5
NY_351				Gary Bergstrom	1991	USA	North America	 Ithaca	 New York	wheat	leaf	Parastagonospora nodorum	SN351NY91	Parastagonospora nodorum NY_351
NY_322				Gary Bergstrom	1991	USA	North America	 Ithaca	 New York	wheat	leaf	Parastagonospora nodorum	SN322NY91	Parastagonospora nodorum NY_322
83_6011_2				Joseph Krupinsky	1983	USA	North America	 Fargo	 North Dakota	smoothe bromegrass	leaf	Parastagonospora nodorum	83-6011-2	Parastagonospora nodorum 83_6011_2
CH_1B8A				Bruce A. McDonald and Vincent Michel	1999	Switzerland	Europe	 Winterthur	 Zurich Kanton	wheat	leaf	Parastagonospora nodorum	SN99CH_1B8A	Parastagonospora nodorum CH_1B8A
CH_1B7A				Bruce A. McDonald and Vincent Michel	1999	Switzerland	Europe	 Winterthur	 Zurich Kanton	wheat	leaf	Parastagonospora nodorum	SN99CH_1B7A	Parastagonospora nodorum CH_1B7A
CH_1B4A				Bruce A. McDonald and Vincent Michel	1999	Switzerland	Europe	 Winterthur	 Zurich Kanton	wheat	leaf	Parastagonospora nodorum	SN99CH_1B4A	Parastagonospora nodorum CH_1B4A
CH_1B3A				Bruce A. McDonald and Vincent Michel	1999	Switzerland	Europe	 Winterthur	 Zurich Kanton	wheat	leaf	Parastagonospora nodorum	SN99CH_1B3A	Parastagonospora nodorum CH_1B3A
AUS_1G1				Bruce A. McDonald and Robert Loughman	2001	Australia	Oceania	 North of Narrogin	n/a	wheat	leaf	Parastagonospora nodorum	SNAus01_1G1	Parastagonospora nodorum AUS_1G1
CH_1B1A				Bruce A. McDonald and Vincent Michel	1999	Switzerland	Europe	 Winterthur	 Zurich Kanton	wheat	leaf	Parastagonospora nodorum	SN99CH_1B1A	Parastagonospora nodorum CH_1B1A
CH_1D6A				Bruce A. McDonald and Vincent Michel	1999	Switzerland	Europe	 Winterthur	 Zurich Kanton	wheat	leaf	Parastagonospora nodorum	SN99CH_1D6A	Parastagonospora nodorum CH_1D6A
CH_1D4A				Bruce A. McDonald and Vincent Michel	1999	Switzerland	Europe	 Winterthur	 Zurich Kanton	wheat	leaf	Parastagonospora nodorum	SN99CH_1D4A	Parastagonospora nodorum CH_1D4A
CH_1D2A				Bruce A. McDonald and Vincent Michel	1999	Switzerland	Europe	 Winterthur	 Zurich Kanton	wheat	leaf	Parastagonospora nodorum	SN99CH_1D2A	Parastagonospora nodorum CH_1D2A
CH_1C9A				Bruce A. McDonald and Vincent Michel	1999	Switzerland	Europe	 Winterthur	 Zurich Kanton	wheat	leaf	Parastagonospora nodorum	SN99CH_1C9A	Parastagonospora nodorum CH_1C9A
CH_1C7A				Bruce A. McDonald and Vincent Michel	1999	Switzerland	Europe	 Winterthur	 Zurich Kanton	wheat	leaf	Parastagonospora nodorum	SN99CH_1C7A	Parastagonospora nodorum CH_1C7A
CH_1C6A				Bruce A. McDonald and Vincent Michel	1999	Switzerland	Europe	 Winterthur	 Zurich Kanton	wheat	leaf	Parastagonospora nodorum	SN99CH_1C6A	Parastagonospora nodorum CH_1C6A
AUS_1A5				Bruce A. McDonald and Robert Loughman	2001	Australia	Oceania	 North of Narrogin	n/a	wheat	leaf	Parastagonospora nodorum	SNAus01_1A5	Parastagonospora nodorum AUS_1A5
CH_1C4A				Bruce A. McDonald and Vincent Michel	1999	Switzerland	Europe	 Winterthur	 Zurich Kanton	wheat	leaf	Parastagonospora nodorum	SN99CH_1C4A	Parastagonospora nodorum CH_1C4A
CH_1C2A				Bruce A. McDonald and Vincent Michel	1999	Switzerland	Europe	 Winterthur	 Zurich Kanton	wheat	leaf	Parastagonospora nodorum	SN99CH_1C2A	Parastagonospora nodorum CH_1C2A
CH_1C1A				Bruce A. McDonald and Vincent Michel	1999	Switzerland	Europe	 Winterthur	 Zurich Kanton	wheat	leaf	Parastagonospora nodorum	SN99CH_1C1A	Parastagonospora nodorum CH_1C1A
CH_1A9A				Bruce A. McDonald and Vincent Michel	1999	Switzerland	Europe	 Winterthur	 Zurich Kanton	wheat	leaf	Parastagonospora nodorum	SN99CH_1A9A	Parastagonospora nodorum CH_1A9A
SA_123				Pedro Crous	1995	South Africa	Africa	 Gouda area	 Southwestern Cape	wheat	leaf	Parastagonospora nodorum	SNSA95_123	Parastagonospora nodorum SA_123
SA_12				Pedro Crous	1995	South Africa	Africa	 Gouda area	 Southwestern Cape	wheat	leaf	Parastagonospora nodorum	SNSA95_12	Parastagonospora nodorum SA_12
SA_116				Pedro Crous	1995	South Africa	Africa	 Gouda area	 Southwestern Cape	wheat	leaf	Parastagonospora nodorum	SNSA95_116	Parastagonospora nodorum SA_116
AUS_1D2				Bruce A. McDonald and Robert Loughman	2001	Australia	Oceania	 North of Narrogin	n/a	wheat	leaf	Parastagonospora nodorum	SNAus01_1D2	Parastagonospora nodorum AUS_1D2
AUS_1A3				Bruce A. McDonald and Robert Loughman	2001	Australia	Oceania	 North of Narrogin	n/a	wheat	leaf	Parastagonospora nodorum	SNAus01_1A3	Parastagonospora nodorum AUS_1A3
