Name	Description	SourceMTOverride	SourceMTOverride	characteristics [fungal genotype]	Characteristics [fungus organism]	alternative sample ID	Characteristics [specimen]	Characteristics[mating type]	Characteristics [fungal strain]
N309-23				F1 progeny	Neurospora discreta	Nd78	mycelia	?	Neurospora discreta N309-23
N309-21				F1 progeny	Neurospora discreta	Nd76	mycelia	?	Neurospora discreta N309-21
N309-20				F1 progeny	Neurospora discreta	Nd75	mycelia	?	Neurospora discreta N309-20
N309-18				F1 progeny	Neurospora discreta	Nd73	mycelia	?	Neurospora discreta N309-18
N309-16				F1 progeny	Neurospora discreta	Nd71	mycelia	?	Neurospora discreta N309-16
N309-14				F1 progeny	Neurospora discreta	Nd69	mycelia	?	Neurospora discreta N309-14
N309-12				F1 progeny	Neurospora discreta	Nd67	mycelia	?	Neurospora discreta N309-12
N309-9				F1 progeny	Neurospora discreta	Nd64	mycelia	?	Neurospora discreta N309-9
N309-8				F1 progeny	Neurospora discreta	Nd63	mycelia	?	Neurospora discreta N309-8
N309-7				F1 progeny	Neurospora discreta	Nd62	mycelia	?	Neurospora discreta N309-7
N309-6				F1 progeny	Neurospora discreta	Nd61	mycelia	?	Neurospora discreta N309-6
N309-5				F1 progeny	Neurospora discreta	Nd60	mycelia	?	Neurospora discreta N309-5
N309-4				F1 progeny	Neurospora discreta	Nd59	mycelia	?	Neurospora discreta N309-4
N309-3				F1 progeny	Neurospora discreta	Nd58	mycelia	?	Neurospora discreta N309-3
N309-2				F1 progeny	Neurospora discreta	Nd57	mycelia	?	Neurospora discreta N309-2
FGSC10025				ecotype	Neurospora discreta	Nd55	mycelia	a	Neurospora discreta FGSC10025
FGSC10013				ecotype	Neurospora discreta	Nd53	mycelia	A	Neurospora discreta FGSC10013
FGSC9981				ecotype	Neurospora discreta	Nd35	mycelia	a	Neurospora discreta FGSC9981
FGSC9980				ecotype	Neurospora discreta	Nd34	mycelia	A	Neurospora discreta FGSC9980
FGSC9978				ecotype	Neurospora discreta	Nd32	mycelia	a	Neurospora discreta FGSC9978
FGSC9977				ecotype	Neurospora discreta	Nd31	mycelia	a	Neurospora discreta FGSC9977
FGSC8561				ecotype	Neurospora discreta	Nd30	mycelia	A	Neurospora discreta FGSC8561
FGSC8560				ecotype	Neurospora discreta	Nd29	mycelia	a	Neurospora discreta FGSC8560
FGSC8995				ecotype	Neurospora discreta	Nd28	mycelia	a	Neurospora discreta FGSC8995
FGSC8992				ecotype	Neurospora discreta	Nd26	mycelia	a	Neurospora discreta FGSC8992
FGSC8572				ecotype	Neurospora discreta	Nd24	mycelia	a	Neurospora discreta FGSC8572
FGSC8565				ecotype	Neurospora discreta	Nd22	mycelia	A	Neurospora discreta FGSC8565
FGSC8568				ecotype	Neurospora discreta	Nd21	mycelia	a	Neurospora discreta FGSC8568
FGSC9969				ecotype	Neurospora discreta	Nd15	mycelia	a	Neurospora discreta FGSC9969
FGSC9967				ecotype	Neurospora discreta	Nd13	mycelia	A	Neurospora discreta FGSC9967
FGSC9965				ecotype	Neurospora discreta	Nd11	mycelia	A	Neurospora discreta FGSC9965
FGSC9956				ecotype	Neurospora discreta	Nd8	mycelia	a	Neurospora discreta FGSC9956
FGSC9955				ecotype	Neurospora discreta	Nd7	mycelia	a	Neurospora discreta FGSC9955
FGSC8814				ecotype	Neurospora discreta	Nd4	mycelia	a	Neurospora discreta FGSC8814
FGSC8797				ecotype	Neurospora discreta	Nd3	mycelia	a	Neurospora discreta FGSC8797
FGSC9944				ecotype	Neurospora discreta	Nd2	mycelia	a	Neurospora discreta FGSC9944
FGSC8777				ecotype	Neurospora discreta	Nd1	mycelia	A	Neurospora discreta FGSC8777
FGSC10011				ecotype	Neurospora discreta	Nd51	mycelia	a	Neurospora discreta FGSC10011
FGSC8579_resequence1				ecotype	Neurospora discreta	Nd49	mycelia	A	Neurospora discreta FGSC8579_resequence1
FGSC8578				ecotype	Neurospora discreta	Nd48	mycelia	a	Neurospora discreta FGSC8578
FGSC9993				ecotype	Neurospora discreta	Nd47	mycelia	A	Neurospora discreta FGSC9993
FGSC9990				ecotype	Neurospora discreta	Nd44	mycelia	A	Neurospora discreta FGSC9990
FGSC9989				ecotype	Neurospora discreta	Nd43	mycelia	A	Neurospora discreta FGSC9989
FGSC9988				ecotype	Neurospora discreta	Nd42	mycelia	a	Neurospora discreta FGSC9988
FGSC9986				ecotype	Neurospora discreta	Nd40	mycelia	a	Neurospora discreta FGSC9986
FGSC9984				ecotype	Neurospora discreta	Nd38	mycelia	a	Neurospora discreta FGSC9984
D71				ecotype	Neurospora discreta	Nd150	mycelia	?	Neurospora discreta D71
N309-91				F1 progeny	Neurospora discreta	Nd146	mycelia	?	Neurospora discreta N309-91
N309-90				F1 progeny	Neurospora discreta	Nd145	mycelia	?	Neurospora discreta N309-90
N309-88				F1 progeny	Neurospora discreta	Nd143	mycelia	?	Neurospora discreta N309-88
N309-86				F1 progeny	Neurospora discreta	Nd141	mycelia	?	Neurospora discreta N309-86
N309-84				F1 progeny	Neurospora discreta	Nd139	mycelia	?	Neurospora discreta N309-84
N309-81				F1 progeny	Neurospora discreta	Nd136	mycelia	?	Neurospora discreta N309-81
N309-77				F1 progeny	Neurospora discreta	Nd132	mycelia	?	Neurospora discreta N309-77
N309-75				F1 progeny	Neurospora discreta	Nd130	mycelia	?	Neurospora discreta N309-75
N309-73				F1 progeny	Neurospora discreta	Nd128	mycelia	?	Neurospora discreta N309-73
N309-71				F1 progeny	Neurospora discreta	Nd126	mycelia	?	Neurospora discreta N309-71
N309-70				F1 progeny	Neurospora discreta	Nd125	mycelia	?	Neurospora discreta N309-70
N309-68				F1 progeny	Neurospora discreta	Nd123	mycelia	?	Neurospora discreta N309-68
N309-66				F1 progeny	Neurospora discreta	Nd121	mycelia	?	Neurospora discreta N309-66
N309-64				F1 progeny	Neurospora discreta	Nd119	mycelia	?	Neurospora discreta N309-64
N309-62				F1 progeny	Neurospora discreta	Nd117	mycelia	?	Neurospora discreta N309-62
N309-59				F1 progeny	Neurospora discreta	Nd114	mycelia	?	Neurospora discreta N309-59
N309-58				F1 progeny	Neurospora discreta	Nd112	mycelia	?	Neurospora discreta N309-58
N309-56				F1 progeny	Neurospora discreta	Nd111	mycelia	?	Neurospora discreta N309-56
N309-55				F1 progeny	Neurospora discreta	Nd110	mycelia	?	Neurospora discreta N309-55
N309-54				F1 progeny	Neurospora discreta	Nd109	mycelia	?	Neurospora discreta N309-54
N309-52				F1 progeny	Neurospora discreta	Nd107	mycelia	?	Neurospora discreta N309-52
N309-49				F1 progeny	Neurospora discreta	Nd104	mycelia	?	Neurospora discreta N309-49
N309-47				F1 progeny	Neurospora discreta	Nd102	mycelia	?	Neurospora discreta N309-47
N309-46				F1 progeny	Neurospora discreta	Nd101	mycelia	?	Neurospora discreta N309-46
N309-45				F1 progeny	Neurospora discreta	Nd100	mycelia	?	Neurospora discreta N309-45
N309-44				F1 progeny	Neurospora discreta	Nd99	mycelia	?	Neurospora discreta N309-44
N309-42				F1 progeny	Neurospora discreta	Nd97	mycelia	?	Neurospora discreta N309-42
N309-38				F1 progeny	Neurospora discreta	Nd93	mycelia	?	Neurospora discreta N309-38
N309-37				F1 progeny	Neurospora discreta	Nd92	mycelia	?	Neurospora discreta N309-37
N309-35				F1 progeny	Neurospora discreta	Nd90	mycelia	?	Neurospora discreta N309-35
N309-33				F1 progeny	Neurospora discreta	Nd88	mycelia	?	Neurospora discreta N309-33
N309-31				F1 progeny	Neurospora discreta	Nd86	mycelia	?	Neurospora discreta N309-31
N309-30				F1 progeny	Neurospora discreta	Nd85	mycelia	?	Neurospora discreta N309-30
N309-29				F1 progeny	Neurospora discreta	Nd84	mycelia	?	Neurospora discreta N309-29
N309-28				F1 progeny	Neurospora discreta	Nd83	mycelia	?	Neurospora discreta N309-28
N309-26				F1 progeny	Neurospora discreta	Nd81	mycelia	?	Neurospora discreta N309-26
N309-24				F1 progeny	Neurospora discreta	Nd79	mycelia	?	Neurospora discreta N309-24
N309-22				F1 progeny	Neurospora discreta	Nd77	mycelia	?	Neurospora discreta N309-22
N309-19				F1 progeny	Neurospora discreta	Nd74	mycelia	?	Neurospora discreta N309-19
N309-17				F1 progeny	Neurospora discreta	Nd72	mycelia	?	Neurospora discreta N309-17
N309-15				F1 progeny	Neurospora discreta	Nd70	mycelia	?	Neurospora discreta N309-15
N309-13				F1 progeny	Neurospora discreta	Nd68	mycelia	?	Neurospora discreta N309-13
N309-11				F1 progeny	Neurospora discreta	Nd66	mycelia	?	Neurospora discreta N309-11
N309-10				F1 progeny	Neurospora discreta	Nd65	mycelia	?	Neurospora discreta N309-10
N309-1				F1 progeny	Neurospora discreta	Nd56	mycelia	?	Neurospora discreta N309-1
FGSC10014				ecotype	Neurospora discreta	Nd54	mycelia	A	Neurospora discreta FGSC10014
FGSC9983				ecotype	Neurospora discreta	Nd37	mycelia	A	Neurospora discreta FGSC9983
FGSC9982				ecotype	Neurospora discreta	Nd36	mycelia	a	Neurospora discreta FGSC9982
FGSC9979				ecotype	Neurospora discreta	Nd33	mycelia	A	Neurospora discreta FGSC9979
FGSC8994				ecotype	Neurospora discreta	Nd27	mycelia	A	Neurospora discreta FGSC8994
FGSC8991				ecotype	Neurospora discreta	Nd25	mycelia	A	Neurospora discreta FGSC8991
FGSC8566				ecotype	Neurospora discreta	Nd23	mycelia	a	Neurospora discreta FGSC8566
FGSC8567				ecotype	Neurospora discreta	Nd20	mycelia	A	Neurospora discreta FGSC8567
FGSC9974				ecotype	Neurospora discreta	Nd19	mycelia	?	Neurospora discreta FGSC9974
FGSC9973				ecotype	Neurospora discreta	Nd18	mycelia	A	Neurospora discreta FGSC9973
FGSC9972				ecotype	Neurospora discreta	Nd17	mycelia	a	Neurospora discreta FGSC9972
FGSC9970				ecotype	Neurospora discreta	Nd16	mycelia	A	Neurospora discreta FGSC9970
FGSC9968				ecotype	Neurospora discreta	Nd14	mycelia	A	Neurospora discreta FGSC9968
FGSC9966				ecotype	Neurospora discreta	Nd12	mycelia	a	Neurospora discreta FGSC9966
FGSC9963				ecotype	Neurospora discreta	Nd10	mycelia	A	Neurospora discreta FGSC9963
FGSC9957				ecotype	Neurospora discreta	Nd9	mycelia	a	Neurospora discreta FGSC9957
FGSC8906				ecotype	Neurospora discreta	Nd6	mycelia	a	Neurospora discreta FGSC8906
FGSC8831				ecotype	Neurospora discreta	Nd5	mycelia	A	Neurospora discreta FGSC8831
FGSC10012				ecotype	Neurospora discreta	Nd52	mycelia	a	Neurospora discreta FGSC10012
FGSC10010				ecotype	Neurospora discreta	Nd50	mycelia	a	Neurospora discreta FGSC10010
FGSC9992				ecotype	Neurospora discreta	Nd46	mycelia	A	Neurospora discreta FGSC9992
FGSC9991				ecotype	Neurospora discreta	Nd45	mycelia	A	Neurospora discreta FGSC9991
FGSC9987				ecotype	Neurospora discreta	Nd41	mycelia	A	Neurospora discreta FGSC9987
FGSC9985				ecotype	Neurospora discreta	Nd39	mycelia	A	Neurospora discreta FGSC9985
N309-92				F1 progeny	Neurospora discreta	Nd147	mycelia	?	Neurospora discreta N309-92
N309-89				F1 progeny	Neurospora discreta	Nd144	mycelia	?	Neurospora discreta N309-89
N309-87				F1 progeny	Neurospora discreta	Nd142	mycelia	?	Neurospora discreta N309-87
N309-85				F1 progeny	Neurospora discreta	Nd140	mycelia	?	Neurospora discreta N309-85
N309-83				F1 progeny	Neurospora discreta	Nd138	mycelia	?	Neurospora discreta N309-83
N309-82				F1 progeny	Neurospora discreta	Nd137	mycelia	?	Neurospora discreta N309-82
N309-80				F1 progeny	Neurospora discreta	Nd135	mycelia	?	Neurospora discreta N309-80
N309-79				F1 progeny	Neurospora discreta	Nd134	mycelia	?	Neurospora discreta N309-79
