Name	Description	SourceMTOverride	SourceMTOverride	characteristics [fungal genotype]	Characteristics [fungus organism]	alternative sample ID	Characteristics [specimen]	Characteristics[mating type]	Characteristics [fungal strain]
N309-78				F1 progeny	Neurospora discreta	Nd133	mycelia	?	Neurospora discreta N309-78
N309-76				F1 progeny	Neurospora discreta	Nd131	mycelia	?	Neurospora discreta N309-76
N309-74				F1 progeny	Neurospora discreta	Nd129	mycelia	?	Neurospora discreta N309-74
N309-72				F1 progeny	Neurospora discreta	Nd127	mycelia	?	Neurospora discreta N309-72
N309-69				F1 progeny	Neurospora discreta	Nd124	mycelia	?	Neurospora discreta N309-69
N309-67				F1 progeny	Neurospora discreta	Nd122	mycelia	?	Neurospora discreta N309-67
N309-65				F1 progeny	Neurospora discreta	Nd120	mycelia	?	Neurospora discreta N309-65
N309-63				F1 progeny	Neurospora discreta	Nd118	mycelia	?	Neurospora discreta N309-63
N309-61				F1 progeny	Neurospora discreta	Nd116	mycelia	?	Neurospora discreta N309-61
N309-60				F1 progeny	Neurospora discreta	Nd115	mycelia	?	Neurospora discreta N309-60
N309-57				F1 progeny	Neurospora discreta	Nd113	mycelia	?	Neurospora discreta N309-57
N309-53				F1 progeny	Neurospora discreta	Nd108	mycelia	?	Neurospora discreta N309-53
N309-51				F1 progeny	Neurospora discreta	Nd106	mycelia	?	Neurospora discreta N309-51
N309-50				F1 progeny	Neurospora discreta	Nd105	mycelia	?	Neurospora discreta N309-50
N309-48				F1 progeny	Neurospora discreta	Nd103	mycelia	?	Neurospora discreta N309-48
N309-43				F1 progeny	Neurospora discreta	Nd98	mycelia	?	Neurospora discreta N309-43
N309-41				F1 progeny	Neurospora discreta	Nd96	mycelia	?	Neurospora discreta N309-41
N309-40				F1 progeny	Neurospora discreta	Nd95	mycelia	?	Neurospora discreta N309-40
N309-39				F1 progeny	Neurospora discreta	Nd94	mycelia	?	Neurospora discreta N309-39
N309-36				F1 progeny	Neurospora discreta	Nd91	mycelia	?	Neurospora discreta N309-36
N309-34				F1 progeny	Neurospora discreta	Nd89	mycelia	?	Neurospora discreta N309-34
N309-32				F1 progeny	Neurospora discreta	Nd87	mycelia	?	Neurospora discreta N309-32
N309-27				F1 progeny	Neurospora discreta	Nd82	mycelia	?	Neurospora discreta N309-27
N309-25				F1 progeny	Neurospora discreta	Nd80	mycelia	?	Neurospora discreta N309-25
