Name	Description	SourceMTOverride	SourceMTOverride	specimen collector	Specimen Collection Date	Characteristics[country]	Characteristics [continent]	Characteristics [specimen]	latitude	longitude	Characteristics [fungus organism]	Characteristics [fungal strain]
K-1-3L-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/3/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus K-1-3L-2
K-1-1L-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/3/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus K-1-1L-2
D-2-43L-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/5/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus D-2-43L-1
C-1-64L-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/5/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus C-1-64L-2
H-1-29-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/20/17	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus H-1-29-2
E-1-20-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	4/12/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus E-1-20-2
L-2-13-4	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/24/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus L-2-13-4
H-1-21-9	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/20/17	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus H-1-21-9
H-1-30-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/20/17	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus H-1-30-2
H-1-21-5	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/20/17	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus H-1-21-5
A-3-40L-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/13/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus A-3-40L-1
A-3-45L-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/13/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus A-3-45L-2
A-3-46s-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/13/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus A-3-46s-1
D-2-44L-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/5/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus D-2-44L-1
L-2-21-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/24/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus L-2-21-2
L-2-4-3	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/24/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus L-2-4-3
L-2-24-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/24/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus L-2-24-1
A-3-43s-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/13/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus A-3-43s-1
A-2-36s-3	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/13/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus A-2-36s-3
A-2-35s-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/13/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus A-2-35s-1
C-1-33L-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	4/8/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus C-1-33L-2
C-1-40L-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	4/8/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus C-1-40L-2
E-1-37L-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	4/12/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus E-1-37L-2
E-1-46-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	4/12/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus E-1-46-2
A-2-27s-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/13/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus A-2-27s-1
C-1-28L-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	4/8/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus C-1-28L-1
C-1-30L-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	4/8/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus C-1-30L-1
C-1-31s-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	4/8/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus C-1-31s-1
B-1-30-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	4/4/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus B-1-30-1
H-1-15-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/20/17	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus H-1-15-2
B-1-32-3	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	4/4/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus B-1-32-3
D-2-15L-3	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	4/8/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus D-2-15L-3
I-1-2-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/20/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus I-1-2-2
I-1-2-4	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/20/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus I-1-2-4
I-1-19-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/20/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus I-1-19-2
A-2-26s-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/13/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus A-2-26s-2
I-1-32-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/20/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus I-1-32-1
I-1-32-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/20/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus I-1-32-2
I-1-22-4	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/20/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus I-1-22-4
I-1-22-5	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/20/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus I-1-22-5
I-1-12-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/20/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus I-1-12-1
D-2-26s-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/5/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus D-2-26s-1
I-1-25-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/20/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus I-1-25-1
F-1-3L-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	4/27/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus F-1-3L-1
F-1-13L-3	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	4/27/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus F-1-13L-3
C-1-93s-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/5/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus C-1-93s-1
B-1-73L-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/4/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus B-1-73L-1
F-1-33L-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	4/27/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus F-1-33L-2
F-1-13L-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	4/27/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus F-1-13L-1
E-1-67s-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/13/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus E-1-67s-1
A-3-37s-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/13/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus A-3-37s-1
C-1-94L-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/5/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus C-1-94L-2
C-1-67s-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/5/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus C-1-67s-1
A-2-49L-5	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/13/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus A-2-49L-5
E-1-66s-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/13/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus E-1-66s-1
C-1-49-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	4/8/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus C-1-49-1
A-2-49L-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/13/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus A-2-49L-2
L-3-11-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/24/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus L-3-11-2
L-3-24-3	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/24/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus L-3-24-3
A-2-47s-3	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/13/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus A-2-47s-3
L-3-22-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/24/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus L-3-22-2
L-3-7-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/24/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus L-3-7-1
L-3-24-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/24/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus L-3-24-1
L-3-13-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/24/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus L-3-13-2
L-3-13-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/24/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus L-3-13-1
L-3-11-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/24/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus L-3-11-1
L-3-15-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/24/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus L-3-15-2
L-3-21-3	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/24/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus L-3-21-3
L-3-21-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/24/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus L-3-21-1
G-2-9-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/18/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus G-2-9-2
A-2-47L-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/13/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus A-2-47L-2
C-1-76s-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/5/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus C-1-76s-2
D-2-32L-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/5/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus D-2-32L-1
