Name	Description	SourceMTOverride	SourceMTOverride	Specimen Collection Date	Characteristics [country]	Characteristics [continent]	Characteristics[city]	Characteristics [Health status]	Characteristics [organism]	Characteristics [specimen]	Characteristics [fungus organism]	Characteristics [fungal strain]
USGS_26655_4_WI				12/20/14	USA	North America	 WI	Aspergillosis	Larus delawarensis	neck muscle	Aspergillus fumigatus	Aspergillus fumigatus USGS_26655_4_WI
USGS_26624_4_OH				7/9/15	USA	North America	 OH	Aspergillosis	Branta canadensis	heart	Aspergillus fumigatus	Aspergillus fumigatus USGS_26624_4_OH
USGS_26624_1_OH				7/5/15	USA	North America	 OH	Aspergillosis	Branta canadensis	heart	Aspergillus fumigatus	Aspergillus fumigatus USGS_26624_1_OH
USGS_26528_1_WI				5/20/15	USA	North America	 WI	Aspergillosis	Haliaeetus leucocephalus	air sac	Aspergillus fumigatus	Aspergillus fumigatus USGS_26528_1_WI
USGS_26080_10_WA				12/8/14	USA	North America	 WA	Aspergillosis	Anas platyrhynchos	lung	Aspergillus fumigatus	Aspergillus fumigatus USGS_26080_10_WA
USGS_26516_1_IL				5/27/15	USA	North America	 IL	Aspergillosis	Cygnus olor	liver	Aspergillus fumigatus	Aspergillus fumigatus USGS_26516_1_IL
USGS_26501_1_MN				5/26/15	USA	North America	 MN	Aspergillosis	Larus smithsonianus	air sac	Aspergillus fumigatus	Aspergillus fumigatus USGS_26501_1_MN
USGS_26222_1_NV				2/3/15	USA	North America	 NV	Aspergillosis	Buteo jamaicensis	lung	Aspergillus fumigatus	Aspergillus fumigatus USGS_26222_1_NV
USGS_26218_3_MT				2/6/15	USA	North America	 MT	Aspergillosis	Anas platyrhynchos	lung	Aspergillus fumigatus	Aspergillus fumigatus USGS_26218_3_MT
USGS_26218_2_MT				2/6/15	USA	North America	 MT	Aspergillosis	Anas platyrhynchos	lung	Aspergillus fumigatus	Aspergillus fumigatus USGS_26218_2_MT
USGS_26218_1_MT				2/6/15	USA	North America	 MT	Aspergillosis	Anas platyrhynchos	liver	Aspergillus fumigatus	Aspergillus fumigatus USGS_26218_1_MT
USGS_26201_1_WA				1/11/15	USA	North America	 WA	Aspergillosis	Cygnus buccinator	air sac	Aspergillus fumigatus	Aspergillus fumigatus USGS_26201_1_WA
USGS_26113_1_WA				1/6/15	USA	North America	 WA	Aspergillosis	Phalacrocorax auritus	lung	Aspergillus fumigatus	Aspergillus fumigatus USGS_26113_1_WA
USGS_26090_8_WA				12/16/14	USA	North America	 WA	Aspergillosis	Anas platyrhynchos	liver	Aspergillus fumigatus	Aspergillus fumigatus USGS_26090_8_WA
