Name	Description	SourceMTOverride	SampleMTOverride	Specimen Collection Date	Characteristics [country]	Characteristics [continent]	Characteristics [city]	Characteristics [host_common_name]	Characteristics [specimen]	Characteristics [health_status]	Characteristics [fungus organism]	Characteristics [fungal strain]
B14146	Aligned genome sequence reads - Candida auris clinical isolates			10-Dec-17	Saudi Arabia	Asia		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B14146
B14126	Aligned genome sequence reads - Candida auris clinical isolates			10-Nov-17	Saudi Arabia	Asia		Homo sapiens	Pleural Fluid	Candida infection or colonization	Candida auris	Candida auris B14126
B14000	Aligned genome sequence reads - Candida auris clinical isolates			8-Oct-17	United Arab Emirates	Asia		Homo sapiens			Candida auris	Candida auris B14000
B13999	Aligned genome sequence reads - Candida auris clinical isolates			21-Oct-17	United Arab Emirates	Asia		Homo sapiens			Candida auris	Candida auris B13999
B13917	Aligned genome sequence reads - Candida auris clinical isolates			15-Sep-17	United Arab Emirates	Asia		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B13917
B13916	Aligned genome sequence reads - Candida auris clinical isolates			11-Sep-17	United Arab Emirates	Asia		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B13916
B13464	Aligned genome sequence reads - Candida auris clinical isolates			15-May-17	Canada	North America	 Manitoba	Homo sapiens	ear fluid	Candida infection or colonization	Candida auris	Candida auris B13464
B13463	Aligned genome sequence reads - Candida auris clinical isolates			7-Apr-14	Canada	North America	 Alberta	Homo sapiens	ear fluid	Candida infection or colonization	Candida auris	Candida auris B13463
B13282	Aligned genome sequence reads - Candida auris clinical isolates			4-May-17	USA	North America	New York	Homo sapiens	blood	Candidemia	Candida auris	Candida auris B13282
B13279	Aligned genome sequence reads - Candida auris clinical isolates			22-Apr-17	USA	North America	New York	Homo sapiens	sputum	Candida infection or colonization	Candida auris	Candida auris B13279
B13277	Aligned genome sequence reads - Candida auris clinical isolates			4-Apr-17	USA	North America	New York	Homo sapiens	bile	Candida infection or colonization	Candida auris	Candida auris B13277
B12135	Aligned genome sequence reads - Candida auris clinical isolates			18-Jul-12	Venezuela	South America	 Maracaibo	Homo sapiens	wound	Candida infection or colonization	Candida auris	Candida auris B12135
B12134	Aligned genome sequence reads - Candida auris clinical isolates			10-Dec-12	Venezuela	South America	 Maracaibo	Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B12134
B12133	Aligned genome sequence reads - Candida auris clinical isolates			17-Apr-12	Venezuela	South America	 Maracaibo	Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B12133
B12131	Aligned genome sequence reads - Candida auris clinical isolates			12-Apr-12	Venezuela	South America	 Maracaibo	Homo sapiens	tracheal aspirate	Candida infection or colonization	Candida auris	Candida auris B12131
B12130	Aligned genome sequence reads - Candida auris clinical isolates			23-May-12	Venezuela	South America	 Maracaibo	Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B12130
B12125	Aligned genome sequence reads - Candida auris clinical isolates			11-Apr-12	Venezuela	South America	 Maracaibo	Homo sapiens	blood	Candidemia	Candida auris	Candida auris B12125
B12124	Aligned genome sequence reads - Candida auris clinical isolates			22-Nov-12	Venezuela	South America	 Maracaibo	Homo sapiens	blood	Candidemia	Candida auris	Candida auris B12124
B12123	Aligned genome sequence reads - Candida auris clinical isolates			19-Nov-12	Venezuela	South America	 Maracaibo	Homo sapiens	blood	Candidemia	Candida auris	Candida auris B12123
B12122	Aligned genome sequence reads - Candida auris clinical isolates			11-Jan-12	Venezuela	South America	 Maracaibo	Homo sapiens	blood	Candidemia	Candida auris	Candida auris B12122
B12121	Aligned genome sequence reads - Candida auris clinical isolates			11-May-12	Venezuela	South America	 Maracaibo	Homo sapiens	blood	Candidemia	Candida auris	Candida auris B12121
B12120	Aligned genome sequence reads - Candida auris clinical isolates			12-Oct-12	Venezuela	South America	 Maracaibo	Homo sapiens	blood	Candidemia	Candida auris	Candida auris B12120
B12119	Aligned genome sequence reads - Candida auris clinical isolates			10-Dec-12	Venezuela	South America	 Maracaibo	Homo sapiens	blood	Candidemia	Candida auris	Candida auris B12119
B12118	Aligned genome sequence reads - Candida auris clinical isolates			20-Oct-12	Venezuela	South America	 Maracaibo	Homo sapiens	blood	Candidemia	Candida auris	Candida auris B12118
B12116	Aligned genome sequence reads - Candida auris clinical isolates			20-Oct-12	Venezuela	South America	 Maracaibo	Homo sapiens	blood	Candidemia	Candida auris	Candida auris B12116
B12114	Aligned genome sequence reads - Candida auris clinical isolates			16-Oct-12	Venezuela	South America	 Maracaibo	Homo sapiens	blood	Candidemia	Candida auris	Candida auris B12114
B12107	Aligned genome sequence reads - Candida auris clinical isolates			19-Sep-16	Panama	North America	Panama City	Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B12107
B12106	Aligned genome sequence reads - Candida auris clinical isolates			21-Sep-16	Panama	North America	 Panama City	Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B12106
B12104	Aligned genome sequence reads - Candida auris clinical isolates			17-Aug-16	Panama	North America	 Panama City	Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B12104
B12103	Aligned genome sequence reads - Candida auris clinical isolates			25-Jul-16	Panama	North America	 Panama City	Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B12103
