Name	Description	SourceMTOverride	SampleMTOverride	Characteristics[organism ID]	Characteristics[country]	Characteristics[city]	Characteristics[organism]	Characteristics[parasite organism]	Characteristics[parasite strain]	Characteristics[specimen]
TM345	Sample TM345			EUSTDY0002 Subject 41	Thailand		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum TM345	specimen from organism
TM346	Sample TM346			EUSTDY0002 Subject 42	Thailand		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum TM346	specimen from organism
TM347	Sample TM347			EUSTDY0002 Subject 43	Thailand		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum TM347	specimen from organism
TM-4C8-2	Sample TM-4C8-2			EUSTDY0002 Subject 44	Thailand		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum TM-4C8-2	specimen from organism
TM93C1088	Sample TM93C1088			EUSTDY0002 Subject 45	Thailand		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum TM93C1088	specimen from organism
T116	Sample T116			EUSTDY0002 Subject 46	Thailand		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum T116	specimen from organism
GA3	Sample GA3			EUSTDY0002 Subject 47	Thailand		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum GA3	specimen from organism
GH2	Sample GH2			EUSTDY0002 Subject 48	Thailand		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum GH2	specimen from organism
PR145	Sample PR145			EUSTDY0002 Subject 49	Thailand		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum PR145	specimen from organism
V5.42.05	Sample V5.42.05			EUSTDY0002 Subject 50	Senegal		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum V5.42.05	specimen from organism
RO-33	Sample RO-33			EUSTDY0002 Subject 51	Ghana		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum RO-33	specimen from organism
FCC-2	Sample FCC-2			EUSTDY0002 Subject 52	China		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum FCC-2	specimen from organism
HB3_1_batch2	Sample HB3_1_batch2			EUSTDY0002 Subject 53	Honduras		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum HB3_1_batch2	specimen from organism
HB3_2_batch2	Sample HB3_2_batch2			EUSTDY0002 Subject 54	Honduras		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum HB3_2_batch2	specimen from organism
CF04.008_10B	Sample CF04.008_10B			EUSTDY0002 Subject 55	Malawi		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum CF04.008_10B	specimen from organism
CF04.008_1F	Sample CF04.008_1F			EUSTDY0002 Subject 56	Malawi		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum CF04.008_1F	specimen from organism
CF04.008_2G	Sample CF04.008_2G			EUSTDY0002 Subject 57	Malawi		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum CF04.008_2G	specimen from organism
CF04.008_12G	Sample CF04.008_12G			EUSTDY0002 Subject 58	Malawi		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum CF04.008_12G	specimen from organism
CF04.008_7H	Sample CF04.008_7H			EUSTDY0002 Subject 59	Malawi		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum CF04.008_7H	specimen from organism
CF04.009_6D	Sample CF04.009_6D			EUSTDY0002 Subject 60	Malawi		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum CF04.009_6D	specimen from organism
CF04.010_10B	Sample CF04.010_10B			EUSTDY0002 Subject 61	Malawi		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum CF04.010_10B	specimen from organism
T9-94	Sample T9-94			EUSTDY0002 Subject 62	Thailand		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum T9-94	specimen from organism
