Name	Description	SourceMTOverride	SampleMTOverride	Characteristics [country]	Characteristics [city]	specimen collection year	Characteristics [parasite organism]	Characteristics [parasite strain]	Characteristics [organism]	Characteristics [host_common_name]	
BPK471_7	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Rajgung Sinuwari	2010	Leishmania donovani	Leishmania donovani BPK471_7	Homo sapiens	human
BPK475_9	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Rajgung Sinuwari	2010	Leishmania donovani	Leishmania donovani BPK475_9	Homo sapiens	human
BPK486_7	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Saptari, Odhara	2010	Leishmania donovani	Leishmania donovani BPK486_7	Homo sapiens	human
BPK491_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Saptari, Odhara	2009	Leishmania donovani	Leishmania donovani BPK491_0	Homo sapiens	human
BPK495_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Morang, Sundarpur	2009	Leishmania donovani	Leishmania donovani BPK495_0	Homo sapiens	human
BPK496_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Morang, Sundarpur	2009	Leishmania donovani	Leishmania donovani BPK496_0	Homo sapiens	human
BPK497_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Saptari, Diwan	2009	Leishmania donovani	Leishmania donovani BPK497_0	Homo sapiens	human
BPK498_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Morang, Katahari	2009	Leishmania donovani	Leishmania donovani BPK498_0	Homo sapiens	human
BPK499_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Saptari, Odhara	2009	Leishmania donovani	Leishmania donovani BPK499_0	Homo sapiens	human
BPK500_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Saptari, Odhara	2009	Leishmania donovani	Leishmania donovani BPK500_0	Homo sapiens	human
BPK501_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Morang, Sundarpur	2009	Leishmania donovani	Leishmania donovani BPK501_0	Homo sapiens	human
BPK502_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Hansposa	2009	Leishmania donovani	Leishmania donovani BPK502_0	Homo sapiens	human
BPK505_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Ramnagar	2009	Leishmania donovani	Leishmania donovani BPK505_0	Homo sapiens	human
BPK506_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Saptari, Bhogwatupur	2009	Leishmania donovani	Leishmania donovani BPK506_0	Homo sapiens	human
BPK507_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Jhapa, Topgachi	2009	Leishmania donovani	Leishmania donovani BPK507_0	Homo sapiens	human
BPK509_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Saptari, Joganiya	2009	Leishmania donovani	Leishmania donovani BPK509_0	Homo sapiens	human
BPK509_2	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Saptari, Joganiya	2010	Leishmania donovani	Leishmania donovani BPK509_2	Homo sapiens	human
BPK513_0cl8	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Saptari, Odhara	2010	Leishmania donovani	Leishmania donovani BPK513_0cl8	Homo sapiens	human
BPK514_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Morang, Gacchiya	2010	Leishmania donovani	Leishmania donovani BPK514_0	Homo sapiens	human
BPK515_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Jhapa, Baundange	2010	Leishmania donovani	Leishmania donovani BPK515_0	Homo sapiens	human
BPK516_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Morang, Sundarpur	2010	Leishmania donovani	Leishmania donovani BPK516_0	Homo sapiens	human
BPK518_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Morang, Nayabazar	2010	Leishmania donovani	Leishmania donovani BPK518_0	Homo sapiens	human
BPK519_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Aurabani	2010	Leishmania donovani	Leishmania donovani BPK519_0	Homo sapiens	human
BPK519_12	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Aurabani	2011	Leishmania donovani	Leishmania donovani BPK519_12	Homo sapiens	human
BPK520_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Morang, Sundarpur	2010	Leishmania donovani	Leishmania donovani BPK520_0	Homo sapiens	human
BPK526_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Morang, Sundarpur	2010	Leishmania donovani	Leishmania donovani BPK526_0	Homo sapiens	human
BPK530_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Saptari, Manaha	2010	Leishmania donovani	Leishmania donovani BPK530_0	Homo sapiens	human
BPK562_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Saptari, Odraha	2010	Leishmania donovani	Leishmania donovani BPK562_0	Homo sapiens	human
BPK569_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Saptari, Negada	2010	Leishmania donovani	Leishmania donovani BPK569_0	Homo sapiens	human
BPK594_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Saptari, Bisahariya	2011	Leishmania donovani	Leishmania donovani BPK594_0	Homo sapiens	human
BPK602_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Morang, Amardaha	2011	Leishmania donovani	Leishmania donovani BPK602_0	Homo sapiens	human
BPK604_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Khotang, Phaktang	2011	Leishmania donovani	Leishmania donovani BPK604_0	Homo sapiens	human
BPK608_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Siraha, Muksar	2011	Leishmania donovani	Leishmania donovani BPK608_0	Homo sapiens	human
BPK609_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Saptari, Ramnagar	2011	Leishmania donovani	Leishmania donovani BPK609_0	Homo sapiens	human
BPK612_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sankhuwasabha, Ankhibhai	2011	Leishmania donovani	Leishmania donovani BPK612_0	Homo sapiens	human
BPK615_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Siraha, Bastipur	2011	Leishmania donovani	Leishmania donovani BPK615_0	Homo sapiens	human
BPK616_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Jalpapur	2011	Leishmania donovani	Leishmania donovani BPK616_0	Homo sapiens	human
BPK619_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Khotang, Suntale	2011	Leishmania donovani	Leishmania donovani BPK619_0	Homo sapiens	human
BPK623_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Saptari, Fatepur	2011	Leishmania donovani	Leishmania donovani BPK623_0	Homo sapiens	human
BPK648_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sankhuwasabha, Aakhibhui	2011	Leishmania donovani	Leishmania donovani BPK648_0	Homo sapiens	human
BPK649_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Rautahat, Paurahi	2011	Leishmania donovani	Leishmania donovani BPK649_0	Homo sapiens	human
BPK650_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Saptari, Fatepur	2011	Leishmania donovani	Leishmania donovani BPK650_0	Homo sapiens	human
NEP021_6cl6	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Saptari, Parsabani	2004	Leishmania donovani	Leishmania donovani NEP021_6cl6	Homo sapiens	human
NEP052_3	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Saptari, Jagatpur	2004	Leishmania donovani	Leishmania donovani NEP052_3	Homo sapiens	human
NEP098_6	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Siraha, Lahan	2004	Leishmania donovani	Leishmania donovani NEP098_6	Homo sapiens	human
NEP107_6	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Saptari, Portaha	2004	Leishmania donovani	Leishmania donovani NEP107_6	Homo sapiens	human
NEP123_6	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Amahibelaha	2004	Leishmania donovani	Leishmania donovani NEP123_6	Homo sapiens	human
