Name	Description	SourceMTOverride	SampleMTOverride	Characteristics [country]	Characteristics [city]	specimen collection year	Characteristics [parasite organism]	Characteristics [parasite strain]	Characteristics [organism]	Characteristics [host_common_name]	
BHU200_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Gorigama DIH, Karja, Fanda	2006	Leishmania donovani	Leishmania donovani BHU200_0	Homo sapiens	human
BHU201_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Fanda, Karja, Gorigama Dih	2006	Leishmania donovani	Leishmania donovani BHU201_0	Homo sapiens	human
BHU202_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Fanda, Karja, Gorigama Dih	2006	Leishmania donovani	Leishmania donovani BHU202_0	Homo sapiens	human
BHU205_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Dewariya, Paru, Darphari	2006	Leishmania donovani	Leishmania donovani BHU205_0	Homo sapiens	human
BHU210_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Dewariya,  Darphari	2006	Leishmania donovani	Leishmania donovani BHU210_0	Homo sapiens	human
BHU213_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Sitamadhi, Belsand, madhkaul	2006	Leishmania donovani	Leishmania donovani BHU213_0	Homo sapiens	human
BHU215_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Bishunpur patti, saraia, Bishunpur Basant	2006	Leishmania donovani	Leishmania donovani BHU215_0	Homo sapiens	human
BHU216_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Dewariya,  Darphari	2006	Leishmania donovani	Leishmania donovani BHU216_0	Homo sapiens	human
BHU220_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, saraiya, bhakhra	2006	Leishmania donovani	Leishmania donovani BHU220_0	Homo sapiens	human
BHU222_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Pratappur, Karza, chainpur	2006	Leishmania donovani	Leishmania donovani BHU222_0	Homo sapiens	human
BHU224_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur,Jita Chapra, Sahebganj	2006	Leishmania donovani	Leishmania donovani BHU224_0	Homo sapiens	human
BHU230_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Pratappur, Karza, chainpur	2006	Leishmania donovani	Leishmania donovani BHU230_0	Homo sapiens	human
BHU233_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Kurhani, Kerma	2006	Leishmania donovani	Leishmania donovani BHU233_0	Homo sapiens	human
BHU234_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Chainpur , Karja, Partapur	2006	Leishmania donovani	Leishmania donovani BHU234_0	Homo sapiens	human
