Name	Description	SourceMTOverride	SourceMTOverride	Characteristics[country]	Characteristics [continent]	Characteristics [organism]	Characteristics [specimen]	Characteristics [parasite genotype]	Specimen Collection Date	Characteristics[parasite organism]	Characteristics[parasite strain]
Afr12	C parvum isolates from 4 African locations			Madagascar	Africa	Homo sapiens	stool	IaA14	3/22/17	Cryptosporidium parvum	Cryptosporidium parvum Afr12
Afr11	C parvum isolates from 4 African locations			Madagascar	Africa	Homo sapiens	stool	IaA14	3/20/17	Cryptosporidium parvum	Cryptosporidium parvum Afr11
Afr10	C parvum isolates from 4 African locations			Madagascar	Africa	Homo sapiens	stool	IbA10G2	2/24/17	Cryptosporidium parvum	Cryptosporidium parvum Afr10
Afr9	C parvum isolates from 4 African locations			Ghana	Africa	Homo sapiens	stool	IdA15	11/22/16	Cryptosporidium parvum	Cryptosporidium parvum Afr9
Afr7	C parvum isolates from 4 African locations			Ghana	Africa	Homo sapiens	stool	IeA11G3T3	9/20/16	Cryptosporidium parvum	Cryptosporidium parvum Afr7
Afr6	C parvum isolates from 4 African locations			Ghana	Africa	Homo sapiens	stool	IeA11G3T3	8/12/16	Cryptosporidium parvum	Cryptosporidium parvum Afr6
Afr5	C parvum isolates from 4 African locations			Ghana	Africa	Homo sapiens	stool	IeA11G3T3	7/25/16	Cryptosporidium parvum	Cryptosporidium parvum Afr5
Afr35	C parvum isolates from 4 African locations			Gabon	Africa	Homo sapiens	stool	IeA11G3T3	8/24/17	Cryptosporidium parvum	Cryptosporidium parvum Afr35
Afr34	C parvum isolates from 4 African locations			Gabon	Africa	Homo sapiens	stool	IbA13G3	2/22/18	Cryptosporidium parvum	Cryptosporidium parvum Afr34
Afr33	C parvum isolates from 4 African locations			Gabon	Africa	Homo sapiens	stool	IbA9G3	7/28/17	Cryptosporidium parvum	Cryptosporidium parvum Afr33
Afr30	C parvum isolates from 4 African locations			Gabon	Africa	Homo sapiens	stool	IdA22	9/28/17	Cryptosporidium parvum	Cryptosporidium parvum Afr30
Afr29	C parvum isolates from 4 African locations			Gabon	Africa	Homo sapiens	stool	IeA11G3T3	8/23/17	Cryptosporidium parvum	Cryptosporidium parvum Afr29
Afr26	C parvum isolates from 4 African locations			Tanzania	Africa	Homo sapiens	stool	IbA9G3	1/18/17	Cryptosporidium parvum	Cryptosporidium parvum Afr26
Afr25	C parvum isolates from 4 African locations			Tanzania	Africa	Homo sapiens	stool	IeA11G3T3	3/29/17	Cryptosporidium parvum	Cryptosporidium parvum Afr25
Afr24	C parvum isolates from 4 African locations			Tanzania	Africa	Homo sapiens	stool	IdA17	3/29/17	Cryptosporidium parvum	Cryptosporidium parvum Afr24
Afr3	C parvum isolates from 4 African locations			Ghana	Africa	Homo sapiens	stool	IeA11G3T3	6/2/16	Cryptosporidium parvum	Cryptosporidium parvum Afr3
Afr23	C parvum isolates from 4 African locations			Tanzania	Africa	Homo sapiens	stool	IaA25	3/27/17	Cryptosporidium parvum	Cryptosporidium parvum Afr23
Afr22	C parvum isolates from 4 African locations			Tanzania	Africa	Homo sapiens	stool	IeA11G3T3	3/13/17	Cryptosporidium parvum	Cryptosporidium parvum Afr22
Afr21	C parvum isolates from 4 African locations			Tanzania	Africa	Homo sapiens	stool	IeA11G3T3	3/8/17	Cryptosporidium parvum	Cryptosporidium parvum Afr21
Afr20	C parvum isolates from 4 African locations			Tanzania	Africa	Homo sapiens	stool	IaA19	3/6/17	Cryptosporidium parvum	Cryptosporidium parvum Afr20
Afr18	C parvum isolates from 4 African locations			Tanzania	Africa	Homo sapiens	stool	IdA17	1/30/17	Cryptosporidium parvum	Cryptosporidium parvum Afr18
Afr17	C parvum isolates from 4 African locations			Tanzania	Africa	Homo sapiens	stool	IeA11G3T3	1/6/17	Cryptosporidium parvum	Cryptosporidium parvum Afr17
Afr16	C parvum isolates from 4 African locations			Tanzania	Africa	Homo sapiens	stool	IdA17	1/3/17	Cryptosporidium parvum	Cryptosporidium parvum Afr16
Afr15	C parvum isolates from 4 African locations			Tanzania	Africa	Homo sapiens	stool	IdA17	1/2/17	Cryptosporidium parvum	Cryptosporidium parvum Afr15
Afr14	C parvum isolates from 4 African locations			Tanzania	Africa	Homo sapiens	stool	IfA14G1	12/8/16	Cryptosporidium parvum	Cryptosporidium parvum Afr14
Afr13	C parvum isolates from 4 African locations			Madagascar	Africa	Homo sapiens	stool	IaA14	3/24/17	Cryptosporidium parvum	Cryptosporidium parvum Afr13
Afr2	C parvum isolates from 4 African locations			Ghana	Africa	Homo sapiens	stool	IeA11G3T3	5/16/16	Cryptosporidium parvum	Cryptosporidium parvum Afr2
Afr1	C parvum isolates from 4 African locations			Ghana	Africa	Homo sapiens	stool	IeA11G3T3	5/18/16	Cryptosporidium parvum	Cryptosporidium parvum Afr1
