Name	Description	SourceMTOverride	SourceMTOverride	specimen collector	Specimen Collection Date	Characteristics [country]	Characteristics [continent]	Characteristics [Health status]	Characteristics [organism]	Characteristics [fungus organism]	Characteristics [specimen]	Lineage	Characteristics [fungal strain]
MRL_918				NICD	2010	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_918
MRL_2133				NICD	2013	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_2133
MRL_2026				NICD	2013	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_2026
MRL_2025				NICD	2013	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_2025
MRL_1385				NICD	2012	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_1385
MRL_1127				NICD	2012	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_1127
MRL_465				NICD	2012	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	Blood culture	VGIV	Cryptococcus gattii VGIV MRL_465
MRL_386				NICD	2012	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_386
MRL_348				NICD	2012	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_348
MRL_339				NICD	2012	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_339
MRL_1866				NICD	2011	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_1866
MRL_236				NICD	2010	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_236
MRL_153				NICD	2009	South Africa	Africa	Meningitis and pneumonia	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_153
MRL_1687				NICD	2009	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_1687
MRL_547				NICD	2009	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_547
MRL_499				NICD	2009	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_499
MRL_274				NICD	2009	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_274
MRL_4102				NICD	2008	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_4102
MRL_4052				NICD	2008	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_4052
MRL_3749				NICD	2008	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_3749
MRL_3994				NICD	2008	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_3994
MRL_3598				NICD	2008	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_3598
MRL_3943				NICD	2008	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_3943
MRL_1977				NICD	2008	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_1977
MRL_3448				NICD	2008	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_3448
MRL_1071				NICD	2008	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_1071
MRL_1163				NICD	2008	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_1163
MRL_88				NICD	2008	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_88
MRL_6516				NICD	2007	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_6516
MRL_3917				NICD	2007	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_3917
MRL_1625				NICD	2007	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_1625
MRL_1124				NICD	2007	South Africa	Africa	Meningitis and pneumonia	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_1124
MRL_1005				NICD	2007	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_1005
MRL_805				NICD	2007	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_805
MRL_2769				NICD	2007	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_2769
MRL_6487				NICD	2006	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_6487
