Name	Description	SourceMTOverride	SourceMTOverride	Characteristics [country]	Characteristics [continent]	Characteristics [city]	Characteristics [specimen]	Characteristics [fungus organism]	Characteristics [fungal strain]
B-1-48-5				Germany	Europe	 Thuringia	soil	Aspergillus fumigatus	Aspergillus fumigatus B-1-48-5
B-1-32-1				Germany	Europe	 Thuringia	soil	Aspergillus fumigatus	Aspergillus fumigatus B-1-32-1
C-1-80s-1				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus C-1-80s-1
D-2-2s-2				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus D-2-2s-2
D-2-35s-1				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus D-2-35s-1
D-2-29s-1				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus D-2-29s-1
C-1-60L-1				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus C-1-60L-1
D-2-39L-1				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus D-2-39L-1
D-2-43L-2				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus D-2-43L-2
B-1-75L-1				Germany	Europe	 Thuringia	soil	Aspergillus fumigatus	Aspergillus fumigatus B-1-75L-1
B-1-67L-1				Germany	Europe	 Thuringia	soil	Aspergillus fumigatus	Aspergillus fumigatus B-1-67L-1
B-1-68s-1				Germany	Europe	 Thuringia	soil	Aspergillus fumigatus	Aspergillus fumigatus B-1-68s-1
B-1-66s-1				Germany	Europe	 Thuringia	soil	Aspergillus fumigatus	Aspergillus fumigatus B-1-66s-1
C-1-40s-1				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus C-1-40s-1
D-2-2s-3				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus D-2-2s-3
