Name	Description	SourceMTOverride	SourceMTOverride	specimen collector	Specimen Collection Date	Characteristics[country]	Characteristics [continent]	Characteristics [GeographicLocation]	Characteristics[city]	Characteristics [organism]	Characteristics [specimen]	latitude	longitude	Characteristics [fungus organism]	Characteristics [fungal strain]
AFIS1873	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Ohio	Homo sapiens	L ear fluid	40.4173 N	82.9071 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1873
AFIS1866	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 New Jersey	Homo sapiens	BAL	40.0583 N	74.4057 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1866
AFIS1845	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Illinois	Homo sapiens		40.6331 N	89.3985 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1845
AFIS1843	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Illinois	Homo sapiens		40.6331 N	89.3985 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1843
AFIS1842	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Illinois	Homo sapiens		40.6331 N	89.3985 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1842
AFIS1827	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Illinois	Homo sapiens	sputum	40.6331 N	89.3985 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1827
AFIS1821	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 California	Homo sapiens	ear	36.7783 N	119.4179 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1821
AFIS1817	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Arizona	Homo sapiens	BAL	34.0489 N	111.0937 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1817
AFIS1785	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Massachusetts	Homo sapiens		42.4072 N	71.3824 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1785
AFIS1783	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Massachusetts	Homo sapiens		42.4072 N	71.3824 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1783
AFIS1782	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Massachusetts	Homo sapiens		42.4072 N	71.3824 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1782
AFIS1775	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Arizona	Homo sapiens	BAL	34.0489 N	111.0937 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1775
AFIS1738	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Minnesota	Homo sapiens	sputum	46.7296 N	94.6859 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1738
AFIS1722	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Kentucky	Homo sapiens	ear	37.8393 N	84.27 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1722
AFIS1704	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2014	USA	North America	USA	 Maryland	Homo sapiens	sputum	39.0458 N	76.6413 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1704
AFIS1703	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2014	USA	North America	USA	 Maryland	Homo sapiens	BAL	39.0458 N	76.6413 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1703
AFIS1457	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 New York	Homo sapiens	Tissue	40.7128 N	74.006 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1457
AFIS1670	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Texas	Homo sapiens	sputum	31.9686 N	99.9018 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1670
AFIS1663	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Delaware	Homo sapiens	Bronch wash	38.9108 N	75.5277 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1663
AFIS1662	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Delaware	Homo sapiens		38.9108 N	75.5277 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1662
AFIS1661	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 North Dakota	Homo sapiens	sputum	47.5515 N	101.002 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1661
AFIS1652	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Arizona	Homo sapiens	BAL	34.0489 N	111.0937 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1652
AFIS1636	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Pennsylvania	Homo sapiens	sputum	41.2033 N	77.1945 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1636
AFIS1622	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Maryland	Homo sapiens	sputum	39.0458 N	76.6413 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1622
AFIS1613	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Indiana	Homo sapiens	sputum	40.2672 N	86.1349 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1613
AFIS1599	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2014	USA	North America	USA	 Maryland	Homo sapiens	BAL	39.0458 N	76.6413 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1599
AFIS1587	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Pennsylvania	Homo sapiens	BAL	41.2033 N	77.1945 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1587
AFIS1549	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Georgia	Homo sapiens	BAL	32.1656 N	82.9001 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1549
AFIS1542	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Georgia	Homo sapiens	sputum	32.1656 N	82.9001 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1542
AFIS1433	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Michigan	Homo sapiens	Sinus	44.3148 N	85.6024 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1433
AFIS1526	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2013	USA	North America	USA	 North Carolina	Homo sapiens	sputum	35.7596 N	79.0193 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1526
B5603	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC						Homo sapiens		not collected	not collected	Aspergillus fumigatus	Aspergillus fumigatus B5603
B11978	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Georgia		soil	32.1656 N	82.9001 W	Aspergillus fumigatus	Aspergillus fumigatus B11978
B11969	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Georgia		soil	32.1656 N	82.9001 W	Aspergillus fumigatus	Aspergillus fumigatus B11969
B11965	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Georgia		soil	32.1656 N	82.9001 W	Aspergillus fumigatus	Aspergillus fumigatus B11965
B11951	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Georgia		soil	32.1656 N	82.9001 W	Aspergillus fumigatus	Aspergillus fumigatus B11951
B11943	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Georgia		soil	32.1656 N	82.9001 W	Aspergillus fumigatus	Aspergillus fumigatus B11943
B11927	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Georgia		soil	32.1656 N	82.9001 W	Aspergillus fumigatus	Aspergillus fumigatus B11927
AFIS3137	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2017	USA	North America	USA	 Virginia	Homo sapiens	Endotracheal aspirate	37.4316 N	78.6569 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS3137
AFIS1517	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Michigan	Homo sapiens	Trach	44.3148 N	85.6024 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1517
AFIS3068	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2017	USA	North America	USA	 Pennsylvania	Homo sapiens	sputum	41.2033 N	77.1945 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS3068
AFIS2714	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2017	USA	North America	USA	 Pennsylvania	Homo sapiens	Bronch Lavage	41.2033 N	77.1945 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2714
AFIS2575	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Pennsylvania	Homo sapiens	Bronch wash	41.2033 N	77.1945 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2575
AFIS2567	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 New Jersey	Homo sapiens	sputum	40.0583 N	74.4057 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2567
AFIS2566	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 New Jersey	Homo sapiens	Bronch wash	40.0583 N	74.4057 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2566
AFIS1516	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Michigan	Homo sapiens	Trach	44.3148 N	85.6024 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1516
AFIS2546	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Montana	Homo sapiens	sputum	46.8797 N	110.3626 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2546
AFIS2512	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Wyoming	Homo sapiens	Tracheal Secretion	43.076 N	107.2903 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2512
AFIS2506	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Arkansas	Homo sapiens	Paranasal Sinus	35.201 N	91.8318 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2506
AFIS2488	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Kentucky	Homo sapiens	ear	37.8393 N	84.27 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2488
AFIS2413	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Arkansas	Homo sapiens	eye	35.201 N	91.8318 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2413
AFIS1511	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Texas	Homo sapiens	sputum	31.9686 N	99.9018 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1511
AFIS2351B	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016					Homo sapiens	Toenail	not collected	not collected	Aspergillus fumigatus	Aspergillus fumigatus AFIS2351B
AFIS2351A	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Wisconsin	Homo sapiens	sputum	43.7844 N	88.7879 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2351A
AFIS2297	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Alaska	Homo sapiens	sputum	64.2008 N	149.4937 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2297
AFIS2292	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Delaware	Homo sapiens	sputum	38.9108 N	75.5277 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2292
AFIS2275	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Delaware	Homo sapiens	throat	38.9108 N	75.5277 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2275
AFIS2247	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Pennsylvania	Homo sapiens	sputum	41.2033 N	77.1945 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2247
AFIS2242	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 California	Homo sapiens	sputum	36.7783 N	119.4179 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2242
AFIS2231	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Pennsylvania	Homo sapiens	BAL	41.2033 N	77.1945 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2231
AFIS2219	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Georgia	Homo sapiens		32.1656 N	82.9001 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2219
AFIS2202	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Ohio	Homo sapiens		40.4173 N	82.9071 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2202
AFIS1499	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Indiana	Homo sapiens	sputum	40.2672 N	86.1349 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1499
AFIS2190	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Arkansas	Homo sapiens	Bronch wash	35.201 N	91.8318 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2190
AFIS2165	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Pennsylvania	Homo sapiens	sputum	41.2033 N	77.1945 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2165
AFIS2162	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Arizona	Homo sapiens	sputum	34.0489 N	111.0937 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2162
AFIS2159	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 New Mexico	Homo sapiens	BAL	34.5199 N	105.8701 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2159
AFIS2152	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Arkansas	Homo sapiens	BAL	35.201 N	91.8318 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2152
AFIS1493	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Ohio	Homo sapiens	ear	40.4173 N	82.9071 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1493
AFIS2123	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Indiana	Homo sapiens	sputum	40.2672 N	86.1349 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2123
AFIS2105	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Georgia	Homo sapiens		32.1656 N	82.9001 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2105
AFIS2099	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Florida	Homo sapiens	Bronch wash	27.6648 N	81.5158 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2099
AFIS2097	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Florida	Homo sapiens	Bronch wash	27.6648 N	81.5158 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2097
AFIS2093	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 California	Homo sapiens	sputum	36.7783 N	119.4179 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2093
