Name	Description	SourceMTOverride	SampleMTOverride	Characteristics[organism ID]	Characteristics[country]	Characteristics[organism]	Characteristics[parasite organism]		Characteristics[specimen]
Senegal P137.05	Sample Senegal P137.05			EUSTDY0004 Subject 50	Senegal	human	Plasmodium falciparum Senegal P137.05		specimen from organism
Senegal P19.04	Sample Senegal P19.04			EUSTDY0004 Subject 51	Senegal	human	Plasmodium falciparum Senegal P19.04		specimen from organism
Senegal P26.04	Sample Senegal P26.04			EUSTDY0004 Subject 52	Senegal	human	Plasmodium falciparum Senegal P26.04		specimen from organism
Senegal P27.02	Sample Senegal P27.02			EUSTDY0004 Subject 53	Senegal	human	Plasmodium falciparum Senegal P27.02		specimen from organism
Senegal P35.04	Sample Senegal P35.04			EUSTDY0004 Subject 54	Senegal	human	Plasmodium falciparum Senegal P35.04		specimen from organism
Senegal P60.02	Sample Senegal P60.02			EUSTDY0004 Subject 55	Senegal	human	Plasmodium falciparum Senegal P60.02		specimen from organism
Senegal P90.05	Sample Senegal P90.05			EUSTDY0004 Subject 56	Senegal	human	Plasmodium falciparum Senegal P90.05		specimen from organism
Senegal Thi15.04	Sample Senegal Thi15.04			EUSTDY0004 Subject 57	Senegal	human	Plasmodium falciparum Senegal Thi15.04		specimen from organism
Senegal Thi26.04	Sample Senegal Thi26.04			EUSTDY0004 Subject 58	Senegal	human	Plasmodium falciparum Senegal Thi26.04		specimen from organism
Senegal Thi28.04	Sample Senegal Thi28.04			EUSTDY0004 Subject 59	Senegal	human	Plasmodium falciparum Senegal Thi28.04		specimen from organism
Senegal V42.05	Sample Senegal V42.05			EUSTDY0004 Subject 60	Senegal	human	Plasmodium falciparum Senegal V42.05		specimen from organism
T2/C6	Sample T2/C6			EUSTDY0004 Subject 61	Thailand	human	Plasmodium falciparum T2/C6		specimen from organism
TD203	Sample TD203			EUSTDY0004 Subject 62	Thailand	human	Plasmodium falciparum TD203		specimen from organism
TD257	Sample TD257			EUSTDY0004 Subject 63	Thailand	human	Plasmodium falciparum TD257		specimen from organism
TM327	Sample TM327			EUSTDY0004 Subject 64	Thailand	human	Plasmodium falciparum TM327		specimen from organism
TM345	Sample TM345			EUSTDY0004 Subject 65	Thailand	human	Plasmodium falciparum TM345		specimen from organism
TM90C2A	Sample TM90C2A			EUSTDY0004 Subject 66	Thailand	human	Plasmodium falciparum TM90C2A		specimen from organism
TM90C6B	Sample TM90C6B			EUSTDY0004 Subject 67	Thailand	human	Plasmodium falciparum TM90C6B		specimen from organism
TM91C235	Sample TM91C235			EUSTDY0004 Subject 68	Thailand	human	Plasmodium falciparum TM91C235		specimen from organism
JST	Sample JST			EUSTDY0004 Subject 69	Brazil	human	Plasmodium falciparum JST		specimen from organism
106/1	Sample 106/1			EUSTDY0004 Subject 70	Sudan	human	Plasmodium falciparum 106/1		specimen from organism
FCB	Sample FCB			EUSTDY0004 Subject 71	Southeast Asia	human	Plasmodium falciparum FCB		specimen from organism
FCR3	Sample FCR3			EUSTDY0004 Subject 72	Gambia	human	Plasmodium falciparum FCR3		specimen from organism
ITG-2G2	Sample ITG-2G2			EUSTDY0004 Subject 73	Brazil	human	Plasmodium falciparum ITG-2G2		specimen from organism
T9-94	Sample T9-94			EUSTDY0004 Subject 74	Thailand	human	Plasmodium falciparum T9-94		specimen from organism
W2	Sample W2			EUSTDY0004 Subject 75	Indochina	human	Plasmodium falciparum W2		specimen from organism
W2mef	Sample W2mef			EUSTDY0004 Subject 76	Indochina	human	Plasmodium falciparum W2mef		specimen from organism
TM90C6A	Sample TM90C6A			EUSTDY0004 Subject 77	Thailand	human	Plasmodium falciparum TM90C6A		specimen from organism
TM91C1088	Sample TM91C1088			EUSTDY0004 Subject 78	Thailand	human	Plasmodium falciparum TM91C1088		specimen from organism
ADA-2	Sample ADA-2			EUSTDY0004 Subject 79	Brazil	human	Plasmodium falciparum ADA-2		specimen from organism
MT/s1	Sample MT/s1			EUSTDY0004 Subject 80	Mali	human	Plasmodium falciparum MT/s1		specimen from organism
WR87	Sample WR87			EUSTDY0004 Subject 81	Vietnam	human	Plasmodium falciparum WR87		specimen from organism
330_89	Sample 330_89			EUSTDY0004 Subject 82	Brazil	human	Plasmodium falciparum 330_89		specimen from organism
608_88	Sample 608_88			EUSTDY0004 Subject 83	Brazil	human	Plasmodium falciparum 608_88		specimen from organism
APO-42	Sample APO-42			EUSTDY0004 Subject 84	Nigeria	human	Plasmodium falciparum APO-42		specimen from organism
CH3	Sample CH3			EUSTDY0004 Subject 85	Nigeria	human	Plasmodium falciparum CH3		specimen from organism
CH4	Sample CH4			EUSTDY0004 Subject 86	Nigeria	human	Plasmodium falciparum CH4		specimen from organism
FCR8	Sample FCR8			EUSTDY0004 Subject 87	China	human	Plasmodium falciparum FCR8		specimen from organism
Malawi 2257/10H	Sample Malawi 2257/10H			EUSTDY0004 Subject 88	Malawi	human	Plasmodium falciparum Malawi 2257/10H		specimen from organism
Malawi CF04.008	Sample Malawi CF04.008			EUSTDY0004 Subject 89	Malawi	human	Plasmodium falciparum Malawi CF04.008		specimen from organism
Mali PS149	Sample Mali PS149			EUSTDY0004 Subject 90	Mali	human	Plasmodium falciparum Mali PS149		specimen from organism
Mali PS186	Sample Mali PS186			EUSTDY0004 Subject 91	Mali	human	Plasmodium falciparum Mali PS186		specimen from organism
Mali PS206	Sample Mali PS206			EUSTDY0004 Subject 92	Mali	human	Plasmodium falciparum Mali PS206		specimen from organism
Senegal P06.02	Sample Senegal P06.02			EUSTDY0004 Subject 93	Senegal	human	Plasmodium falciparum Senegal P06.02		specimen from organism
Senegal P121.05	Sample Senegal P121.05			EUSTDY0004 Subject 94	Senegal	human	Plasmodium falciparum Senegal P121.05		specimen from organism
Senegal P136.05	Sample Senegal P136.05			EUSTDY0004 Subject 95	Senegal	human	Plasmodium falciparum Senegal P136.05		specimen from organism
Senegal P139.05	Sample Senegal P139.05			EUSTDY0004 Subject 96	Senegal	human	Plasmodium falciparum Senegal P139.05		specimen from organism
Senegal P18.02	Sample Senegal P18.02			EUSTDY0004 Subject 97	Senegal	human	Plasmodium falciparum Senegal P18.02		specimen from organism
Senegal P21.05	Sample Senegal P21.05			EUSTDY0004 Subject 98	Senegal	human	Plasmodium falciparum Senegal P21.05		specimen from organism
Senegal P47.05	Sample Senegal P47.05			EUSTDY0004 Subject 99	Senegal	human	Plasmodium falciparum Senegal P47.05		specimen from organism
Senegal P69.05	Sample Senegal P69.05			EUSTDY0004 Subject 100	Senegal	human	Plasmodium falciparum Senegal P69.05		specimen from organism
Senegal P75.05	Sample Senegal P75.05			EUSTDY0004 Subject 101	Senegal	human	Plasmodium falciparum Senegal P75.05		specimen from organism
Senegal Thi10.04	Sample Senegal Thi10.04			EUSTDY0004 Subject 102	Senegal	human	Plasmodium falciparum Senegal Thi10.04		specimen from organism
Senegal V127.05	Sample Senegal V127.05			EUSTDY0004 Subject 103	Senegal	human	Plasmodium falciparum Senegal V127.05		specimen from organism
Senegal V56.04	Sample Senegal V56.04			EUSTDY0004 Subject 104	Senegal	human	Plasmodium falciparum Senegal V56.04		specimen from organism
Senegal V64.05	Sample Senegal V64.05			EUSTDY0004 Subject 105	Senegal	human	Plasmodium falciparum Senegal V64.05		specimen from organism
Senegal V83.05	Sample Senegal V83.05			EUSTDY0004 Subject 106	Senegal	human	Plasmodium falciparum Senegal V83.05		specimen from organism
T116	Sample T116			EUSTDY0004 Subject 107	Thailand	human	Plasmodium falciparum T116		specimen from organism
TD194	Sample TD194			EUSTDY0004 Subject 108	Thailand	human	Plasmodium falciparum TD194		specimen from organism
TM335	Sample TM335			EUSTDY0004 Subject 109	Thailand	human	Plasmodium falciparum TM335		specimen from organism
TM336	Sample TM336			EUSTDY0004 Subject 110	Thailand	human	Plasmodium falciparum TM336		specimen from organism
TM343	Sample TM343			EUSTDY0004 Subject 111	Thailand	human	Plasmodium falciparum TM343		specimen from organism
TM346	Sample TM346			EUSTDY0004 Subject 112	Thailand	human	Plasmodium falciparum TM346		specimen from organism
TM347	Sample TM347			EUSTDY0004 Subject 113	Thailand	human	Plasmodium falciparum TM347		specimen from organism
TM4-C8-2	Sample TM4-C8-2			EUSTDY0004 Subject 114	Thailand	human	Plasmodium falciparum TM4-C8-2		specimen from organism
