Name	Description	SourceMTOverride	SampleMTOverride	Characteristics [country]	specimen collection year	Characteristics [parasite organism]	Characteristics [parasite strain]
LOMBO3020	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Zambia	2003	Trypanosoma congolense	Trypanosoma congolense LOMBO3020
MSOROM19K1	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Zambia	2003	Trypanosoma congolense	Trypanosoma congolense MSOROM19K1
YOBO2007C2	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Zambia	2003	Trypanosoma congolense	Trypanosoma congolense YOBO2007C2
YOBO2038C2X7	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Zambia	2002	Trypanosoma congolense	Trypanosoma congolense YOBO2038C2X7
TRT46	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Zambia	1996	Trypanosoma congolense	Trypanosoma congolense TRT46
ALICK339C6_2	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Zambia	2003	Trypanosoma congolense	Trypanosoma congolense ALICK339C6_2
KAPEYAK1	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Zambia	2003	Trypanosoma congolense	Trypanosoma congolense KAPEYAK1
MPHITA4028	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Zambia	2003	Trypanosoma congolense	Trypanosoma congolense MPHITA4028
TRT12K1	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Zambia	1996	Trypanosoma congolense	Trypanosoma congolense TRT12K1
TRT37	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Zambia	1996	Trypanosoma congolense	Trypanosoma congolense TRT37
TRT5X1	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Zambia	1996	Trypanosoma congolense	Trypanosoma congolense TRT5X1
TRT573R	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Zambia	1996	Trypanosoma congolense	Trypanosoma congolense TRT573R
TRT59K1	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Zambia	1996	Trypanosoma congolense	Trypanosoma congolense TRT59K1
DJUMAK1	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Congo	1988	Trypanosoma congolense	Trypanosoma congolense DJUMAK1
IL1180_ALL	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Tanzania	1971	Trypanosoma congolense	Trypanosoma congolense IL1180_ALL
MSOROM7_ALL	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Zambia	2003	Trypanosoma congolense	Trypanosoma congolense MSOROM7_ALL
