name	description	sourcemtoverride	samplemtoverride	body_habitat	body_product	body_site	elevation	env_biome	env_feature	env_matter	geo_loc_name	host_subject_id	latitude	longitude	region	sample_type	sequencecenter	title
1927.SRS055482.SRX020514.SRR049504	Sample 1927.SRS055482.SRX020514.SRR049504			Colon	UBERON:feces	Colon	97	urban biome	human-associated habitat		USA	700105181	39	-77	V1-V3	Stool	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055482.SRX020550.SRR047716	Sample 1927.SRS055482.SRX020550.SRR047716			Colon	UBERON:feces	Colon	97	urban biome	human-associated habitat		USA	700105181	39	-77	V1-V3	Stool	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055531.SRX020540.SRR047118	Sample 1927.SRS055531.SRX020540.SRR047118			UBERON:oral cavity	UBERON:supragingival dental plaque	UBERON:tooth	97	urban biome	human-associated habitat		USA	700106378	39	-77	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055541.SRX020670.SRR046249	Sample 1927.SRS055541.SRX020670.SRR046249			UBERON:oral cavity	UBERON:saliva	UBERON:palatine tonsil	97	urban biome	human-associated habitat		USA	700105431	39	-77	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055563.SRX020523.SRR046412	Sample 1927.SRS055563.SRX020523.SRR046412			Colon	UBERON:feces	Colon	97	urban biome	human-associated habitat		USA	700103499	39	-77	V1-V3	Stool	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055630.SRX020568.SRR046881	Sample 1927.SRS055630.SRX020568.SRR046881			UBERON:skin	UBERON:sebum	UBERON:anterior nares	97	urban biome	human-associated habitat		USA	700106512	39	-77	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055631.SRX020542.SRR046381	Sample 1927.SRS055631.SRX020542.SRR046381			UBERON:skin	UBERON:sebum	UBERON:anterior nares	97	urban biome	human-associated habitat		USA	700105284	39	-77	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055643.SRX020568.SRR049523	Sample 1927.SRS055643.SRX020568.SRR049523			UBERON:oral cavity	UBERON:saliva	UBERON:hard palate	97	urban biome	human-associated habitat		USA	700106420	39	-77	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055665.SRX020523.SRR047702	Sample 1927.SRS055665.SRX020523.SRR047702			Colon	UBERON:feces	Colon	97	urban biome	human-associated habitat		USA	700106837	39	-77	V1-V3	Stool	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055669.SRX020580.SRR047188	Sample 1927.SRS055669.SRX020580.SRR047188			UBERON:skin	UBERON:sebum	UBERON:anterior nares	97	urban biome	human-associated habitat		USA	700106645	39	-77	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055697.SRX022224.SRR058087	Sample 1927.SRS055697.SRX022224.SRR058087			Colon	UBERON:feces	Colon	97	urban biome	human-associated habitat		USA	700110438	39	-77	V3-V1	Stool	JCVI	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055748.SRX020567.SRR046628	Sample 1927.SRS055748.SRX020567.SRR046628			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	human-associated habitat		USA	700103291	39	-77	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
