Name	Description	SourceMTOverride	SampleMTOverride	Characteristics[country]	Characteristics[organism]	Parameter Value [collection year]	Characteristics[parasite organism]	Characteristics[parasite strain]	Characteristics[haplogroup]	Characteristics[specimen]
RH-JSR	Toxoplasma gondii RH-JSR whole genome,Human(adolescent), Illumina reads submitted to SRA			USA	Homo sapiens	1939	Toxoplasma gondii	Toxoplasma gondii RH-JSR	1	cell specimen
ROD	Toxoplasma gondii ROD whole genome,Human(transplant), Illumina reads submitted to SRA			USA	Homo sapiens	1993	Toxoplasma gondii	Toxoplasma gondii ROD	3	cell specimen
SOU	Toxoplasma gondii SOU whole genome,Human(AIDS), Illumina reads submitted to SRA			USA	Homo sapiens	1985	Toxoplasma gondii	Toxoplasma gondii SOU	3	cell specimen
TgCatBr1	Toxoplasma gondii TgCatBr1 whole genome, Illumina reads submitted to SRA			Brazil	Felis catus	2006	Toxoplasma gondii	Toxoplasma gondii TgCatBr1	4	cell specimen
TgCatBr10	Toxoplasma gondii TgCatBr10 whole genome, Illumina reads submitted to SRA			Brazil	Felis catus	2006	Toxoplasma gondii	Toxoplasma gondii TgCatBr10	9	cell specimen
TgCatBr15	Toxoplasma gondii TgCatBr15 whole genome, Illumina reads submitted to SRA			USA	Sus scrofa	2006	Toxoplasma gondii	Toxoplasma gondii TgCatBr15	9	cell specimen
TgCatBr18	Toxoplasma gondii TgCatBr18 whole genome, Illumina reads submitted to SRA			Brazil	Felis catus	2006	Toxoplasma gondii	Toxoplasma gondii TgCatBr18	4	cell specimen
TgCatBr25	Toxoplasma gondii TgCatBr25 whole genome, Illumina reads submitted to SRA			Brazil	Felis catus	2006	Toxoplasma gondii	Toxoplasma gondii TgCatBr25	8	cell specimen
TgCatBr26	Toxoplasma gondii TgCatBr26 whole genome, Illumina reads submitted to SRA			Brazil	Felis catus	2006	Toxoplasma gondii	Toxoplasma gondii TgCatBr26	6b	cell specimen
TgCatBr3	Toxoplasma gondii TgCatBr3 whole genome, Illumina reads submitted to SRA					2003	Toxoplasma gondii	Toxoplasma gondii TgCatBr3	9	cell specimen
TgCatBr34	Toxoplasma gondii TgCatBr34 whole genome, Illumina reads submitted to SRA			Brazil	Felis catus	2006	Toxoplasma gondii	Toxoplasma gondii TgCatBr34	4	cell specimen
TgCatBr44	Toxoplasma gondii TgCatBr44 whole genome, Illumina reads submitted to SRA			Brazil	Felis catus	2008	Toxoplasma gondii	Toxoplasma gondii TgCatBr44	10	cell specimen
TgCatBr64	Toxoplasma gondii TgCatBr64 whole genome, Illumina reads submitted to SRA			Brazil	Gallus gallus	2006	Toxoplasma gondii	Toxoplasma gondii TgCatBr64	8	cell specimen
TgCatBr72	Toxoplasma gondii TgCatBr72 whole genome, Illumina reads submitted to SRA			Brazil	Gallus gallus	2003	Toxoplasma gondii	Toxoplasma gondii TgCatBr72	6b	cell specimen
TgCatPRC3	Toxoplasma gondii TgCatPRC3 whole genome, Illumina reads submitted to SRA			China	Felis catus	1985	Toxoplasma gondii	Toxoplasma gondii TgCatPRC3	3	cell specimen
TgCkBr141	Toxoplasma gondii TgCkBr141 whole genome, Illumina reads submitted to SRA			Brazil	Gallus gallus	2006	Toxoplasma gondii	Toxoplasma gondii TgCkBr141	7	cell specimen
TgCkCr1	Toxoplasma gondii TgCkCr1 whole genome, Illumina reads submitted to SRA			Costa Rica	Gallus gallus	2005	Toxoplasma gondii	Toxoplasma gondii TgCkCr1	1	cell specimen
TgCkCr10	Toxoplasma gondii TgCkCr10 whole genome, Illumina reads submitted to SRA			Costa Rica	Gallus gallus	2006	Toxoplasma gondii	Toxoplasma gondii TgCkCr10	10	cell specimen
TgCkGy2	Toxoplasma gondii TgCkGy2 whole genome, Illumina reads submitted to SRA			Guyana	Gallus gallus	2007	Toxoplasma gondii	Toxoplasma gondii TgCkGy2	3	cell specimen
TgDogCo17	Toxoplasma gondii TgDogCo17 whole genome, Illumina reads submitted to SRA			Columbia	Canis lupus familiaris	2006	Toxoplasma gondii	Toxoplasma gondii TgDogCo17	1	cell specimen
TgH26044	Toxoplasma gondii TgH26044 whole genome, Illumina reads submitted to SRA					2007	Toxoplasma gondii	Toxoplasma gondii TgH26044	4	cell specimen
TgRsCr1	Toxoplasma gondii TgRsCr1 whole genome, Illumina reads submitted to SRA			Costa Rica	Ramphastidae	2006	Toxoplasma gondii	Toxoplasma gondii TgRsCr1	5	cell specimen
TgShUS28	Toxoplasma gondii TgShUS28 whole genome, Illumina reads submitted to SRA			USA	Ovis aries	2008	Toxoplasma gondii	Toxoplasma gondii TgShUS28	3	cell specimen
