Extract Name	Protocol REF	Assay Name
SAMN02677225	DNA Sequencing	Panama-458 (DNA Sequencing)
SAMN02677113	DNA Sequencing	Peru00622 (DNA Sequencing)
SAMN02677111	DNA Sequencing	Peru00692 (DNA Sequencing)
SAMN02677110	DNA Sequencing	Peru00699 (DNA Sequencing)
SAMN02677100	DNA Sequencing	Peru06 (DNA Sequencing)
SAMN02677101	DNA Sequencing	Peru07 (DNA Sequencing)
SAMN02677102	DNA Sequencing	Peru08 (DNA Sequencing)
SAMN02677103	DNA Sequencing	Peru09 (DNA Sequencing)
SAMN02677104	DNA Sequencing	Peru10 (DNA Sequencing)
SAMN02677125	DNA Sequencing	Peru1008 (DNA Sequencing)
SAMN02677126	DNA Sequencing	Peru1021 (DNA Sequencing)
SAMN02677127	DNA Sequencing	Peru1022 (DNA Sequencing)
SAMN02677128	DNA Sequencing	Peru2025 (DNA Sequencing)
SAMN02677129	DNA Sequencing	Peru257 (DNA Sequencing)
SAMN02677130	DNA Sequencing	Peru258 (DNA Sequencing)
SAMN02677131	DNA Sequencing	Peru259 (DNA Sequencing)
SAMN02677132	DNA Sequencing	Peru260 (DNA Sequencing)
SAMN02677133	DNA Sequencing	Peru261 (DNA Sequencing)
SAMN02677134	DNA Sequencing	Peru262 (DNA Sequencing)
SAMN02677115	DNA Sequencing	Peru3043_D0 (DNA Sequencing)
SAMN02677117	DNA Sequencing	Peru3043_D106 (DNA Sequencing)
SAMN02677116	DNA Sequencing	Peru3043_D87 (DNA Sequencing)
SAMN02677122	DNA Sequencing	Peru3133 (DNA Sequencing)
SAMN02677123	DNA Sequencing	Peru3136 (DNA Sequencing)
SAMN02677114	DNA Sequencing	Peru3232 (DNA Sequencing)
SAMN02677118	DNA Sequencing	Peru3270_D0 (DNA Sequencing)
SAMN02677119	DNA Sequencing	Peru3270_D43 (DNA Sequencing)
SAMN02677120	DNA Sequencing	Peru3270_D59 (DNA Sequencing)
SAMN02677124	DNA Sequencing	Peru3280 (DNA Sequencing)
SAMN02677121	DNA Sequencing	Peru3323 (DNA Sequencing)
SAMN02677135	DNA Sequencing	Peru4017 (DNA Sequencing)
SAMN02677136	DNA Sequencing	Peru4023 (DNA Sequencing)
SAMN02677096	DNA Sequencing	Peru852 (DNA Sequencing)
SAMN02677097	DNA Sequencing	Peru858 (DNA Sequencing)
SAMN02677098	DNA Sequencing	Peru869 (DNA Sequencing)
SAMN02677099	DNA Sequencing	Peru872 (DNA Sequencing)
SAMN02677112	DNA Sequencing	Peru99622 (DNA Sequencing)
SAMN02677108	DNA Sequencing	PNG16 (DNA Sequencing)
SAMN02677109	DNA Sequencing	PNG17 (DNA Sequencing)
SAMN02677105	DNA Sequencing	PNG58 (DNA Sequencing)
SAMN02677106	DNA Sequencing	PNG72 (DNA Sequencing)
SAMN02677107	DNA Sequencing	PNG73 (DNA Sequencing)
SAMN02677200	DNA Sequencing	PVRVL1991 (DNA Sequencing)
SAMN02677201	DNA Sequencing	PVRVL1997 (DNA Sequencing)
SAMN02677202	DNA Sequencing	PVRVL2000 (DNA Sequencing)
SAMN02677203	DNA Sequencing	PVRVL2003 (DNA Sequencing)
SAMN02677199	DNA Sequencing	PVXMQ2006 (DNA Sequencing)
SAMN02677198	DNA Sequencing	PVXMW2006 (DNA Sequencing)
SAMN02677197	DNA Sequencing	PVXMZ2010 (DNA Sequencing)
SAMN02677068	DNA Sequencing	ST01 (DNA Sequencing)
SAMN02677072	DNA Sequencing	ST02 (DNA Sequencing)
SAMN02677204	DNA Sequencing	Thailand_VKBT-100 (DNA Sequencing)
SAMN02677205	DNA Sequencing	Thailand_VKBT-101 (DNA Sequencing)
SAMN02677206	DNA Sequencing	Thailand_VKBT-106 (DNA Sequencing)
SAMN02677207	DNA Sequencing	Thailand_VKBT-58 (DNA Sequencing)
SAMN02677208	DNA Sequencing	Thailand_VKBT-71 (DNA Sequencing)
SAMN02677209	DNA Sequencing	Thailand_VKBT-72 (DNA Sequencing)
SAMN02677210	DNA Sequencing	Thailand_VKBT-73 (DNA Sequencing)
SAMN02677211	DNA Sequencing	Thailand_VKBT-75 (DNA Sequencing)
SAMN02677212	DNA Sequencing	Thailand_VKBT-94 (DNA Sequencing)
SAMN02677213	DNA Sequencing	Thailand_VKBT-95 (DNA Sequencing)
SAMN02677214	DNA Sequencing	Thailand_VKBT-98 (DNA Sequencing)
SAMN02677215	DNA Sequencing	Thailand_VKBT-99 (DNA Sequencing)
SAMN02677216	DNA Sequencing	Thailand_VKPR-11 (DNA Sequencing)
SAMN02677217	DNA Sequencing	Thailand_VKTS-36 (DNA Sequencing)
SAMN02677224	DNA Sequencing	Thailand_VKTS-37 (DNA Sequencing)
SAMN02677218	DNA Sequencing	Thailand_VKTS-38 (DNA Sequencing)
SAMN02677219	DNA Sequencing	Thailand_VKTS-39 (DNA Sequencing)
SAMN02677220	DNA Sequencing	Thailand_VKTS-45 (DNA Sequencing)
SAMN02677221	DNA Sequencing	Thailand_VKTS-46 (DNA Sequencing)
SAMN02677223	DNA Sequencing	Thailand_VKTS-52 (DNA Sequencing)
SAMN02677071	DNA Sequencing	XUA045 (DNA Sequencing)
SAMN02677074	DNA Sequencing	XUA070 (DNA Sequencing)
SAMN02677073	DNA Sequencing	XUC014 (DNA Sequencing)
SAMN02677064	DNA Sequencing	XUC030 (DNA Sequencing)
SAMN02677069	DNA Sequencing	XUC063 (DNA Sequencing)
SAMN02677066	DNA Sequencing	XUC090 (DNA Sequencing)
